table,we_read,row_count,saldo_col,total_usd,total_mmusd,all_cols,file,period
Saldo de Deuda a Reestructurar,True,17,Saldo en Dólares,212521067.3538526,212.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2013-31-12.mdb,12/2013
Saldo de Deuda en Situación de Pago Normal,True,473,Saldo en Dólares,196481382952.91602,196481.4,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2013-31-12.mdb,12/2013
Saldo de Deuda no Presentada al Canje,True,18,Saldo en Dólares,2357640299.164812,2357.6,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2013-31-12.mdb,12/2013
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2013-31-12.mdb,12/2013
Vencimientos de la Deuda en Situación de Pago Normal,True,11709,Principal en Dólares,196481382940.76743,196481.4,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2013-31-12.mdb,12/2013
Atrasos de Deuda a Reestructurar,True,109,Saldo en Dólares,53244341.85434561,53.2,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripción; Fecha de Servicio; Tipo de Mora; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2014-06-30.mdb,06/2014
Atrasos de Deuda no Presentada al Canje,True,2997,Saldo en Dólares,9581562575.578655,9581.6,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripción; Fecha de Servicio; Tipo de Mora; Saldo en Moneda  de Origen; Saldo en Dólares,basesigade 2014-06-30.mdb,06/2014
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2014-06-30.mdb,06/2014
Saldo de Deuda en Situación de Pago Normal,True,500,Saldo en Dólares,198749272788.8371,198749.3,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcion; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2014-06-30.mdb,06/2014
Saldo de Deuda no Presentada al Canje,True,18,Saldo en Dólares,2357032310.537324,2357.0,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2014-06-30.mdb,06/2014
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2014-06-30.mdb,06/2014
Vencimientos de la Deuda en Situación de Pago Normal,True,11706,Principal en Dólares,198749273009.0681,198749.3,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2014-06-30.mdb,06/2014
Atrasos de Deuda a Reestructurar,True,223,Saldo en Dólares,48672540.05999994,48.7,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripción; Fecha de Servicio; Tipo de Mora; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2014-31-12.mdb,12/2014
Atrasos de Deuda no Presentada al Canje,True,3158,Saldo en Dólares,9293070462.879816,9293.1,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripción; Fecha de Servicio; Tipo de Mora; Saldo en Moneda  de Origen; Saldo en Dólares,basesigade 2014-31-12.mdb,12/2014
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2014-31-12.mdb,12/2014
Saldo de Deuda en Situación de Pago Normal,True,523,Saldo en Dólares,221638845785.46506,221638.8,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2014-31-12.mdb,12/2014
Saldo de Deuda no Presentada al Canje,True,18,Saldo en Dólares,2339616909.69,2339.6,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2014-31-12.mdb,12/2014
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2014-31-12.mdb,12/2014
Vencimientos de la Deuda en Situación de Pago Normal,True,11682,Principal en Dólares,221638846520.3241,221638.8,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2014-31-12.mdb,12/2014
Atrasos de Deuda a Reestructurar,True,109,Saldo en Dólares,45831329.24332333,45.8,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripción; Fecha de Servicio; Tipo de Mora; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-30-06.mdb,06/2015
Atrasos de Deuda no Presentada al Canje,True,3054,Saldo en Dólares,9246712572.41759,9246.7,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripción; Fecha de Servicio; Tipo de Mora; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-30-06.mdb,06/2015
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-30-06.mdb,06/2015
Saldo de Deuda en Situación de Pago Normal,True,500,Saldo en Dólares,226221993879.37698,226222.0,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-30-06.mdb,06/2015
Saldo de Deuda no Presentada al Canje,True,17,Saldo en Dólares,2249320480.296722,2249.3,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-30-06.mdb,06/2015
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2015-30-06.mdb,06/2015
Vencimientos de la Deuda en Situación de Pago Normal,True,11036,Principal en Dólares,226221994142.27554,226222.0,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2015-30-06.mdb,06/2015
Atrasos de Deuda a Reestructurar,True,109,Saldo en Dólares,45874900.39881794,45.9,Tipo de deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2015-30-09.mdb,09/2015
Atrasos de Deuda no Presentada al Canje,True,3068,Saldo en Dólares,9299762286.911165,9299.8,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; Tipo de Mora; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2015-30-09.mdb,09/2015
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-30-09.mdb,09/2015
Saldo de Deuda en Situación de Pago Normal,True,508,Saldo en Dólares,239852762440.04718,239852.8,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-30-09.mdb,09/2015
Saldo de Deuda no Presentada al Canje,True,17,Saldo en Dólares,2249763424.013433,2249.8,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-30-09.mdb,09/2015
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2015-30-09.mdb,09/2015
Vencimientos de la Deuda en Situación de Pago Normal,True,11163,Principal en Dólares,239852762463.60184,239852.8,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de TAsa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2015-30-09.mdb,09/2015
Atrasos de Deuda a Reestructurar,True,109,Saldo en Dólares,44730314.899211824,44.7,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripción; Fecha de Servicio; Tipo de Mora; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-31-03.mdb,03/2015
Atrasos de Deuda no Presentada al Canje,True,3039,Saldo en Dólares,8980255106.309967,8980.3,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripción; Fecha de Servicio; Tipo de Mora; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-31-03.mdb,03/2015
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-31-03.mdb,03/2015
Saldo de Deuda en Situación de Pago Normal,True,519,Saldo en Dólares,219896750242.64017,219896.8,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-31-03.mdb,03/2015
Saldo de Deuda no Presentada al Canje,True,18,Saldo en Dólares,2324695220.5820436,2324.7,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-31-03.mdb,03/2015
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2015-31-03.mdb,03/2015
Vencimientos de la Deuda en Situación de Pago Normal,True,11427,Principal en Dólares,219896750837.1614,219896.8,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2015-31-03.mdb,03/2015
Atrasos de Deuda a Reestructurar,True,109,Saldo en Dólares,43901379.76872235,43.9,Tipo de deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2015-31-12.mdb,12/2015
Atrasos de Deuda no Presentada al Canje,True,3082,Saldo en Dólares,9274574935.437248,9274.6,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; Tipo de Mora; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2015-31-12.mdb,12/2015
Intereses Compensatorios Acumulados Deuda no Presentada al Canje,True,103,Suma de Suma de Monto en M de Origen,8259548213.355726,8259.5,Etiquetas de fila; Nombre de la Operación; Moneda del Prestamo; Descripción; Suma de Suma de Monto en M de Origen; Suma de Montoen Dólares,basesigade 2015-31-12.mdb,12/2015
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-31-12.mdb,12/2015
Saldo de Deuda en Situación de Pago Normal,True,513,Saldo en Dólares,222598838274.34888,222598.8,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-31-12.mdb,12/2015
Saldo de Deuda no Presentada al Canje,True,16,Saldo en Dólares,2246313855.1144633,2246.3,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2015-31-12.mdb,12/2015
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2015-31-12.mdb,12/2015
Vencimientos de la Deuda en Situación de Pago Normal,True,11449,Principal en Dólares,222598837771.58002,222598.8,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2015-31-12.mdb,12/2015
Atrasos de Deuda a Reestructurar,True,109,Saldo en Dólares,44469285.602609605,44.5,Tipo de deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2016-30-06.mdb,06/2016
Atrasos de Deuda no Presentada al Canje,True,3100,Saldo en Dólares,2557389909.2202816,2557.4,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; Tipo de Mora; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2016-30-06.mdb,06/2016
Intereses Compensatorios Acumulados Deuda no Presentada al Canje,True,104,Suma de Monto en M de Origen,4263683901.432441,4263.7,Boletín; Nombre de la Operación; Moneda del Prestamo; Descripción; Suma de Monto en M de Origen; Suma de Monto en Dólares,basesigade 2016-30-06.mdb,06/2016
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-30-06.mdb,06/2016
Saldo de Deuda en Situación de Pago Normal,True,520,Saldo en Dólares,235959865047.61185,235959.9,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-30-06.mdb,06/2016
Saldo de Deuda no Presentada al Canje,True,129,Saldo en Dólares,3716685532.965716,3716.7,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-30-06.mdb,06/2016
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2016-30-06.mdb,06/2016
Vencimientos de la Deuda en Situación de Pago Normal,True,11621,Principal en Dólares,235959865109.1249,235959.9,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2016-30-06.mdb,06/2016
Atrasos de Deuda a Reestructurar,True,109,Saldo en Dólares,44956312.53751434,45.0,Tipo de deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2016-30-09.mdb,09/2016
Atrasos de Deuda no Presentada al Canje,True,1038,Saldo en Dólares,7678383136.812439,7678.4,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; Tipo de Mora; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2016-30-09.mdb,09/2016
Intereses Compensatorios Acumulados Deuda no Presentada al Canje,True,104,Suma de Monto en M de Origen,4263683901.460001,4263.7,Boletín; Nombre de la Operación; Moneda del Prestamo; Descripción; Suma de Monto en M de Origen; Suma de Monto en Dólares,basesigade 2016-30-09.mdb,09/2016
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-30-09.mdb,09/2016
Saldo de Deuda en Situación de Pago Normal,True,523,Saldo en Dólares,242235885949.96536,242235.9,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-30-09.mdb,09/2016
Saldo de Deuda no Presentada al Canje,True,16,Saldo en Dólares,1096821363.5722952,1096.8,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-30-09.mdb,09/2016
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2016-30-09.mdb,09/2016
Vencimientos de la Deuda en Situación de Pago Normal,True,11595,Principal en Dólares,242235885952.98743,242235.9,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2016-30-09.mdb,09/2016
Atrasos de Deuda a Reestructurar,True,109,Saldo en Dólares,45198001.474601485,45.2,Tipo de deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2016-31-03.mdb,03/2016
Atrasos de Deuda no Presentada al Canje,True,3091,Saldo en Dólares,9450187979.357986,9450.2,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; Tipo de Mora; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2016-31-03.mdb,03/2016
Intereses Compensatorios Acumulados Deuda no Presentada al Canje,True,104,Suma de Monto en M de Origen,8467404839.388511,8467.4,Etiquetas de fila; Nombre de la Operación; Moneda del Prestamo; Descripción; Suma de Monto en M de Origen; Suma de Montoen Dólares,basesigade 2016-31-03.mdb,03/2016
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-31-03.mdb,03/2016
Saldo de Deuda en Situación de Pago Normal,True,510,Saldo en Dólares,217047691107.66464,217047.7,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-31-03.mdb,03/2016
Saldo de Deuda no Presentada al Canje,True,16,Saldo en Dólares,2251963595.3565507,2252.0,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-31-03.mdb,03/2016
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2016-31-03.mdb,03/2016
Vencimientos de la Deuda en Situación de Pago Normal,True,11434,Principal en Dólares,217047691210.95795,217047.7,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2016-31-03.mdb,03/2016
Atrasos de Deuda a Reestructurar,True,109,Saldo en Dólares,42906828.05237436,42.9,Tipo de deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2016-31-12.mdb,12/2016
Atrasos de Deuda no Presentada al Canje,True,1051,Saldo en Dólares,7378857749.881263,7378.9,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; Tipo de Mora; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2016-31-12.mdb,12/2016
Saldo de Deuda a Reestructurar,True,1,Saldo en Dólares,60464159.7,60.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-31-12.mdb,12/2016
Saldo de Deuda en Situación de Pago Normal,True,533,Saldo en Dólares,266874680612.40738,266874.7,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-31-12.mdb,12/2016
Saldo de Deuda no Presentada al Canje,True,16,Saldo en Dólares,1089219474.0568922,1089.2,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2016-31-12.mdb,12/2016
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2016-31-12.mdb,12/2016
Vencimientos de la Deuda en Situación de Pago Normal,True,11787,Principal en Dólares,266874680648.29837,266874.7,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2016-31-12.mdb,12/2016
Atrasos de Deuda a Reestructurar,True,110,Saldo en Dólares,105995369.72455283,106.0,Tipo de deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2017-30-06.mdb,06/2017
Atrasos de Deuda no Presentada al Canje,True,272,Saldo en Dólares,2310034423.519579,2310.0,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; Tipo de Mora; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2017-30-06.mdb,06/2017
Saldo de Deuda a Reestructurar,True,0,Saldo en Dólares,,,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2017-30-06.mdb,06/2017
Saldo de Deuda en Situación de Pago Normal,True,548,Saldo en Dólares,290850665895.49396,290850.7,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2017-30-06.mdb,06/2017
Saldo de Deuda no Presentada al Canje,True,16,Saldo en Dólares,522629657.80299604,522.6,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2017-30-06.mdb,06/2017
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2017-30-06.mdb,06/2017
Vencimientos de la Deuda en Situación de Pago Normal,True,11835,Principal en Dólares,290850665865.45013,290850.7,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2017-30-06.mdb,06/2017
Atrasos de Deuda a Reestructurar,True,110,Saldo en Dólares,107072674.16593966,107.1,Tipo de deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2017-30-09.mdb,09/2017
Atrasos de Deuda no Presentada al Canje,True,1044,Saldo en Dólares,2341180151.327708,2341.2,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; Tipo de Mora; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2017-30-09.mdb,09/2017
Saldo de Deuda a Reestructurar,True,0,Saldo en Dólares,,,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2017-30-09.mdb,09/2017
Saldo de Deuda en Situación de Pago Normal,True,622,Saldo en Dólares,302736054864.0185,302736.1,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2017-30-09.mdb,09/2017
Saldo de Deuda no Presentada al Canje,True,16,Saldo en Dólares,523899178.2466563,523.9,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2017-30-09.mdb,09/2017
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2017-30-09.mdb,09/2017
Vencimientos de la Deuda en Situación de Pago Normal,True,13137,Principal en Dólares,302736054817.79376,302736.1,BOLETIN; Nombre de la Operación; Día; Año; Mes; Tipo de Tasa; Moneda de Origen; Descripción; Fecha de Servicio; Principal en Moneda del Prestamo; Interes en Moneda del Prestamo; Principal en Dólares; Interes en Dólares,basesigade 2017-30-09.mdb,09/2017
Atrasos de Deuda a Reestructurar,True,110,Saldo en Dólares,103920453.65530865,103.9,Tipo de deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; TIPO MORA; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2017-31-03.mdb,03/2017
Atrasos de Deuda no Presentada al Canje,True,236,Saldo en Dólares,2466297881.7676926,2466.3,Tipo de Deuda; Nombre de la Operación; Moneda del Prestamo; Descripcion; Fecha de Servicio; Tipo de Mora; SumaDeMonto en M de Origen; Saldo en Dólares,basesigade 2017-31-03.mdb,03/2017
Saldo de Deuda a Reestructurar,True,0,Saldo en Dólares,,,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2017-31-03.mdb,03/2017
Saldo de Deuda en Situación de Pago Normal,True,527,Saldo en Dólares,281776493716.2968,281776.5,Clasificación de la Deuda; Nombre de la Operación; Tipo de Tasa; Moneda del Prestamo; Descripcin; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2017-31-03.mdb,03/2017
Saldo de Deuda no Presentada al Canje,True,16,Saldo en Dólares,534070471.93393075,534.1,Clasificación de la Deuda; Nombre de la Operacioón; Tipo de Tasa; Moneda del Prestamo; Descripción; Fecha de Firma; Saldo en Moneda de Origen; Saldo en Dólares,basesigade 2017-31-03.mdb,03/2017
Tipos de Cambio,False,16,,,,Fecha; Moneda; Descripción; Tipo de Cambio,basesigade 2017-31-03.mdb,03/2017
