fecha,y_obs,y_pred
2006-01-01,,968.7666666666668
2006-02-01,,968.7666666666668
2006-03-01,968.7666666666668,968.7666666666668
2006-04-01,,1354.11181505804
2006-05-01,,1296.009135471239
2006-06-01,1374.4999999999993,1374.4999999999993
2006-07-01,,914.975426459448
2006-08-01,,958.1465107725594
2006-09-01,1085.1666666666672,1085.1666666666672
2006-10-01,,1019.6014841385555
2006-11-01,,1034.2934591651413
2006-12-01,1248.1000000000004,1248.1000000000004
2007-01-01,,620.4490517369115
2007-02-01,,899.1451565809164
2007-03-01,808.1666666666673,808.1666666666673
2007-04-01,,1275.4745693785987
2007-05-01,,1221.4443319790958
2007-06-01,1328.0666666666668,1328.0666666666668
2007-07-01,,455.9312089581104
2007-08-01,,452.40438899012804
2007-09-01,782.0873333333335,782.0873333333335
2007-10-01,,1442.1688759748126
2007-11-01,,1508.123198427961
2007-12-01,1599.033333333333,1599.033333333333
2008-01-01,,1638.7014926176953
2008-02-01,,1072.1573753583766
2008-03-01,1286.8,1286.8
2008-04-01,,615.6057044762929
2008-05-01,,239.87059448031732
2008-06-01,980.7666666666665,980.7666666666665
2008-07-01,,284.53267370274307
2008-08-01,,2163.261353415742
2008-09-01,1886.1573333333345,1886.1573333333345
2008-10-01,,1434.3492370224112
2008-11-01,,2131.392161974413
2008-12-01,1034.033333333334,1034.033333333334
2009-01-01,,1448.906774820201
2009-02-01,,663.1794491141573
2009-03-01,1332.8999999999999,1332.8999999999999
2009-04-01,,-387.5322538170426
2009-05-01,,-3682.57360598476
2009-06-01,2266.4796666666666,2266.4796666666666
2009-07-01,,-4244.546067419031
2009-08-01,,-501.90443234573104
2009-09-01,1254.8293333333334,1254.8293333333334
2009-10-01,,2801.9370202052414
2009-11-01,,9486.652922744766
2009-12-01,1360.741,1360.741
2010-01-01,,2748.515562575786
2010-02-01,,-6234.114934400838
2010-03-01,840.3267858833339,840.3267858833339
2010-04-01,,-18736.1232998639
2010-05-01,,-42883.39070471264
2010-06-01,1978.9130318499992,1978.9130318499992
2010-07-01,,-39536.28143376747
2010-08-01,,-11915.002776461102
2010-09-01,1177.3801535333337,1177.3801535333337
2010-10-01,,10405.51127299401
2010-11-01,,55418.65195543959
2010-12-01,719.0831282299987,719.0831282299987
2011-01-01,,8624.968427468668
2011-02-01,,-48426.513011179915
2011-03-01,694.300761060001,694.300761060001
2011-04-01,,-145441.70898499314
2011-05-01,,-312380.8282510678
2011-06-01,1633.1841085466658,1633.1841085466658
2011-07-01,,-281762.15019876364
2011-08-01,,-92056.92016630767
2011-09-01,936.5810034466655,936.5810034466655
2011-10-01,,64637.33687962877
2011-11-01,,382460.23479811905
2011-12-01,852.9111558766671,852.9111558766671
2012-01-01,,56540.82693106387
2012-02-01,,-342553.0565487862
2012-03-01,1015.7573351699986,1015.7573351699986
2012-04-01,,-1024011.2929169579
2012-05-01,,-2187303.002576451
2012-06-01,1533.7503633366687,1533.7503633366687
2012-07-01,,-1966309.8372319676
2012-08-01,,-646772.6265876627
2012-09-01,1414.9809960966693,1414.9809960966693
2012-10-01,,440258.9016142944
2012-11-01,,2662058.4318567696
2012-12-01,1049.1489009099994,1049.1489009099994
2013-01-01,,391508.07646578655
2013-02-01,,-2399471.260192308
