fecha,years_since_default
1999-01-01,9.481177275838467
1999-01-04,9.489390828199863
1999-01-05,9.492128678986996
1999-01-06,9.494866529774127
1999-01-07,9.49760438056126
1999-01-08,9.500342231348391
1999-01-11,9.508555783709788
1999-01-12,9.51129363449692
1999-01-13,9.514031485284052
1999-01-14,9.516769336071183
1999-01-15,9.519507186858316
1999-01-18,9.527720739219713
1999-01-19,9.530458590006845
1999-01-20,9.533196440793978
1999-01-21,9.535934291581109
1999-01-22,9.538672142368242
1999-01-25,9.546885694729637
1999-01-26,9.54962354551677
1999-01-27,9.552361396303901
1999-01-28,9.555099247091034
1999-01-29,9.557837097878165
1999-02-01,9.566050650239562
1999-02-02,9.568788501026694
1999-02-03,9.571526351813826
1999-02-04,9.574264202600958
1999-02-05,9.57700205338809
1999-02-08,9.585215605749486
1999-02-09,9.587953456536619
1999-02-10,9.59069130732375
1999-02-11,9.593429158110883
1999-02-12,9.596167008898014
1999-02-15,9.604380561259411
1999-02-16,9.607118412046544
1999-02-17,9.609856262833675
1999-02-18,9.612594113620808
1999-02-19,9.61533196440794
1999-02-22,9.623545516769337
1999-02-23,9.626283367556468
1999-02-24,9.6290212183436
1999-02-25,9.631759069130732
1999-02-26,9.634496919917865
1999-03-01,9.64271047227926
1999-03-02,9.645448323066393
1999-03-03,9.648186173853524
1999-03-04,9.650924024640657
1999-03-05,9.653661875427789
1999-03-08,9.661875427789186
1999-03-09,9.664613278576317
1999-03-10,9.66735112936345
1999-03-11,9.670088980150581
1999-03-12,9.672826830937714
1999-03-15,9.681040383299111
1999-03-16,9.683778234086242
1999-03-17,9.686516084873375
1999-03-18,9.689253935660506
1999-03-19,9.69199178644764
1999-03-22,9.700205338809035
1999-03-23,9.702943189596168
1999-03-24,9.705681040383299
1999-03-25,9.708418891170432
1999-03-26,9.711156741957563
1999-03-29,9.71937029431896
1999-03-30,9.722108145106091
1999-03-31,9.724845995893224
1999-04-01,9.727583846680355
1999-04-02,9.730321697467488
1999-04-05,9.738535249828884
1999-04-06,9.741273100616016
1999-04-07,9.744010951403148
1999-04-08,9.74674880219028
1999-04-09,9.749486652977414
1999-04-12,9.757700205338809
1999-04-13,9.760438056125942
1999-04-14,9.763175906913073
1999-04-15,9.765913757700206
1999-04-16,9.768651608487337
1999-04-19,9.776865160848734
1999-04-20,9.779603011635865
1999-04-21,9.782340862422998
1999-04-22,9.78507871321013
1999-04-23,9.787816563997263
1999-04-26,9.796030116358658
1999-04-27,9.79876796714579
1999-04-28,9.801505817932922
1999-04-29,9.804243668720055
1999-04-30,9.806981519507186
1999-05-03,9.815195071868583
1999-05-04,9.817932922655714
1999-05-05,9.820670773442847
1999-05-06,9.82340862422998
1999-05-07,9.826146475017111
1999-05-10,9.834360027378509
1999-05-11,9.83709787816564
1999-05-12,9.839835728952773
1999-05-13,9.842573579739904
1999-05-14,9.845311430527037
1999-05-17,9.853524982888432
1999-05-18,9.856262833675565
1999-05-19,9.859000684462696
1999-05-20,9.86173853524983
1999-05-21,9.86447638603696
1999-05-24,9.872689938398358
1999-05-25,9.875427789185489
1999-05-26,9.878165639972622
1999-05-27,9.880903490759753
1999-05-28,9.883641341546886
1999-05-31,9.891854893908283
1999-06-01,9.894592744695414
1999-06-02,9.897330595482547
1999-06-03,9.900068446269678
1999-06-04,9.902806297056811
1999-06-07,9.911019849418206
1999-06-08,9.91375770020534
1999-06-09,9.91649555099247
1999-06-10,9.919233401779604
1999-06-11,9.921971252566735
1999-06-14,9.930184804928132
1999-06-15,9.932922655715263
1999-06-16,9.935660506502396
1999-06-17,9.938398357289527
1999-06-18,9.94113620807666
1999-06-21,9.949349760438055
1999-06-22,9.952087611225188
1999-06-23,9.95482546201232
1999-06-24,9.957563312799453
1999-06-25,9.960301163586584
1999-06-28,9.96851471594798
1999-06-29,9.971252566735114
1999-06-30,9.973990417522245
1999-07-01,9.976728268309378
1999-07-02,9.979466119096509
1999-07-05,9.987679671457906
1999-07-06,9.990417522245037
1999-07-07,9.99315537303217
1999-07-08,9.995893223819301
1999-07-09,9.998631074606434
1999-07-12,10.00684462696783
1999-07-13,10.009582477754963
1999-07-14,10.012320328542094
1999-07-15,10.015058179329227
1999-07-16,10.017796030116358
1999-07-19,10.026009582477755
1999-07-20,10.028747433264886
1999-07-21,10.03148528405202
1999-07-22,10.03422313483915
1999-07-23,10.036960985626283
1999-07-26,10.04517453798768
1999-07-27,10.047912388774812
1999-07-28,10.050650239561945
1999-07-29,10.053388090349076
1999-07-30,10.056125941136209
1999-08-02,10.064339493497604
1999-08-03,10.067077344284737
1999-08-04,10.069815195071868
1999-08-05,10.072553045859001
1999-08-06,10.075290896646132
1999-08-09,10.08350444900753
1999-08-10,10.08624229979466
1999-08-11,10.088980150581794
1999-08-12,10.091718001368925
1999-08-13,10.094455852156058
1999-08-16,10.102669404517453
1999-08-17,10.105407255304586
1999-08-18,10.108145106091717
1999-08-19,10.11088295687885
1999-08-20,10.113620807665983
1999-08-23,10.121834360027378
1999-08-24,10.124572210814511
1999-08-25,10.127310061601642
1999-08-26,10.130047912388775
1999-08-27,10.132785763175907
1999-08-30,10.140999315537304
1999-08-31,10.143737166324435
1999-09-01,10.146475017111568
1999-09-02,10.149212867898699
1999-09-03,10.151950718685832
1999-09-06,10.160164271047227
1999-09-07,10.16290212183436
1999-09-08,10.165639972621491
1999-09-09,10.168377823408624
1999-09-10,10.171115674195756
1999-09-13,10.179329226557153
1999-09-14,10.182067077344286
1999-09-15,10.184804928131417
1999-09-16,10.18754277891855
1999-09-17,10.190280629705681
1999-09-20,10.198494182067078
1999-09-21,10.20123203285421
1999-09-22,10.203969883641342
1999-09-23,10.206707734428473
1999-09-24,10.209445585215606
1999-09-27,10.217659137577002
1999-09-28,10.220396988364135
1999-09-29,10.223134839151266
1999-09-30,10.225872689938399
1999-10-01,10.22861054072553
1999-10-04,10.236824093086927
1999-10-05,10.239561943874058
1999-10-06,10.242299794661191
1999-10-07,10.245037645448322
1999-10-08,10.247775496235455
1999-10-11,10.255989048596852
1999-10-12,10.258726899383984
1999-10-13,10.261464750171116
1999-10-14,10.264202600958248
1999-10-15,10.26694045174538
1999-10-18,10.275154004106776
1999-10-19,10.277891854893909
1999-10-20,10.28062970568104
1999-10-21,10.283367556468173
1999-10-22,10.286105407255304
1999-10-25,10.294318959616701
1999-10-26,10.297056810403832
1999-10-27,10.299794661190965
1999-10-28,10.302532511978097
1999-10-29,10.30527036276523
1999-11-01,10.313483915126625
1999-11-02,10.316221765913758
1999-11-03,10.318959616700889
1999-11-04,10.321697467488022
1999-11-05,10.324435318275153
1999-11-08,10.33264887063655
1999-11-09,10.335386721423683
1999-11-10,10.338124572210814
1999-11-11,10.340862422997947
1999-11-12,10.343600273785079
1999-11-15,10.351813826146476
1999-11-16,10.354551676933607
1999-11-17,10.35728952772074
1999-11-18,10.360027378507871
1999-11-19,10.362765229295004
1999-11-22,10.3709787816564
1999-11-23,10.373716632443532
1999-11-24,10.376454483230663
1999-11-25,10.379192334017796
1999-11-26,10.381930184804927
1999-11-29,10.390143737166325
1999-11-30,10.392881587953456
1999-12-01,10.395619438740589
1999-12-02,10.39835728952772
1999-12-03,10.401095140314853
1999-12-06,10.40930869267625
1999-12-07,10.412046543463381
1999-12-08,10.414784394250514
1999-12-09,10.417522245037645
1999-12-10,10.420260095824778
1999-12-13,10.428473648186174
1999-12-14,10.431211498973306
1999-12-15,10.433949349760438
1999-12-16,10.43668720054757
1999-12-17,10.439425051334702
1999-12-20,10.447638603696099
1999-12-21,10.45037645448323
1999-12-22,10.453114305270363
1999-12-23,10.455852156057494
1999-12-24,10.458590006844627
1999-12-27,10.466803559206022
1999-12-28,10.469541409993155
1999-12-29,10.472279260780287
1999-12-30,10.47501711156742
1999-12-31,10.477754962354553
2000-01-03,10.485968514715948
2000-01-04,10.48870636550308
2000-01-05,10.491444216290212
2000-01-06,10.494182067077345
2000-01-07,10.496919917864476
2000-01-10,10.505133470225873
2000-01-11,10.507871321013004
2000-01-12,10.510609171800137
2000-01-13,10.513347022587268
2000-01-14,10.516084873374401
2000-01-17,10.524298425735797
2000-01-18,10.52703627652293
2000-01-19,10.529774127310061
2000-01-20,10.532511978097194
2000-01-21,10.535249828884325
2000-01-24,10.543463381245722
2000-01-25,10.546201232032855
2000-01-26,10.548939082819986
2000-01-27,10.55167693360712
2000-01-28,10.55441478439425
2000-01-31,10.562628336755647
2000-02-01,10.565366187542779
2000-02-02,10.568104038329912
2000-02-03,10.570841889117043
2000-02-04,10.573579739904176
2000-02-07,10.581793292265571
2000-02-08,10.584531143052704
2000-02-09,10.587268993839835
2000-02-10,10.590006844626968
2000-02-11,10.5927446954141
2000-02-14,10.600958247775496
2000-02-15,10.603696098562628
2000-02-16,10.60643394934976
2000-02-17,10.609171800136892
2000-02-18,10.611909650924025
2000-02-21,10.620123203285422
2000-02-22,10.622861054072553
2000-02-23,10.625598904859686
2000-02-24,10.628336755646817
2000-02-25,10.63107460643395
2000-02-28,10.639288158795345
2000-02-29,10.642026009582478
2000-03-01,10.64476386036961
2000-03-02,10.647501711156742
2000-03-03,10.650239561943874
2000-03-06,10.65845311430527
2000-03-07,10.661190965092402
2000-03-08,10.663928815879535
2000-03-09,10.666666666666666
2000-03-10,10.669404517453799
2000-03-13,10.677618069815194
2000-03-14,10.680355920602327
2000-03-15,10.683093771389458
2000-03-16,10.685831622176591
2000-03-17,10.688569472963723
2000-03-20,10.69678302532512
2000-03-21,10.699520876112253
2000-03-22,10.702258726899384
2000-03-23,10.704996577686517
2000-03-24,10.707734428473648
2000-03-27,10.715947980835045
2000-03-28,10.718685831622176
2000-03-29,10.72142368240931
2000-03-30,10.72416153319644
2000-03-31,10.726899383983573
2000-04-03,10.735112936344969
2000-04-04,10.737850787132102
2000-04-05,10.740588637919233
2000-04-06,10.743326488706366
2000-04-07,10.746064339493497
2000-04-10,10.754277891854894
2000-04-11,10.757015742642025
2000-04-12,10.759753593429158
2000-04-13,10.76249144421629
2000-04-14,10.765229295003422
2000-04-17,10.77344284736482
2000-04-18,10.77618069815195
2000-04-19,10.778918548939084
2000-04-20,10.781656399726215
2000-04-21,10.784394250513348
2000-04-24,10.792607802874743
2000-04-25,10.795345653661876
2000-04-26,10.798083504449007
2000-04-27,10.80082135523614
2000-04-28,10.803559206023271
2000-05-01,10.811772758384668
2000-05-02,10.8145106091718
2000-05-03,10.817248459958932
2000-05-04,10.819986310746064
2000-05-05,10.822724161533197
2000-05-08,10.830937713894592
2000-05-09,10.833675564681725
2000-05-10,10.836413415468858
2000-05-11,10.839151266255989
2000-05-12,10.841889117043122
2000-05-15,10.850102669404517
2000-05-16,10.85284052019165
2000-05-17,10.855578370978781
2000-05-18,10.858316221765914
2000-05-19,10.861054072553046
2000-05-22,10.869267624914443
2000-05-23,10.872005475701574
2000-05-24,10.874743326488707
2000-05-25,10.877481177275838
2000-05-26,10.880219028062971
2000-05-29,10.888432580424366
2000-05-30,10.8911704312115
2000-05-31,10.89390828199863
2000-06-01,10.896646132785763
2000-06-02,10.899383983572895
2000-06-05,10.907597535934292
2000-06-06,10.910335386721425
2000-06-07,10.913073237508556
2000-06-08,10.915811088295689
2000-06-09,10.91854893908282
2000-06-12,10.926762491444217
2000-06-13,10.929500342231348
2000-06-14,10.932238193018481
2000-06-15,10.934976043805612
2000-06-16,10.937713894592745
2000-06-19,10.94592744695414
2000-06-20,10.948665297741274
2000-06-21,10.951403148528405
2000-06-22,10.954140999315538
2000-06-23,10.956878850102669
2000-06-26,10.965092402464066
2000-06-27,10.967830253251197
2000-06-28,10.97056810403833
2000-06-29,10.973305954825461
2000-06-30,10.976043805612594
2000-07-03,10.984257357973991
2000-07-04,10.986995208761122
2000-07-05,10.989733059548255
2000-07-06,10.992470910335387
2000-07-07,10.99520876112252
2000-07-10,11.003422313483915
2000-07-11,11.006160164271048
2000-07-12,11.008898015058179
2000-07-13,11.011635865845312
2000-07-14,11.014373716632443
2000-07-17,11.02258726899384
2000-07-18,11.025325119780971
2000-07-19,11.028062970568104
2000-07-20,11.030800821355236
2000-07-21,11.033538672142368
2000-07-24,11.041752224503764
2000-07-25,11.044490075290897
2000-07-26,11.047227926078028
2000-07-27,11.049965776865161
2000-07-28,11.052703627652292
2000-07-31,11.06091718001369
2000-08-01,11.063655030800822
2000-08-02,11.066392881587953
2000-08-03,11.069130732375086
2000-08-04,11.071868583162217
2000-08-07,11.080082135523615
2000-08-08,11.082819986310746
2000-08-09,11.085557837097879
2000-08-10,11.08829568788501
2000-08-11,11.091033538672143
2000-08-14,11.099247091033538
2000-08-15,11.101984941820671
2000-08-16,11.104722792607802
2000-08-17,11.107460643394935
2000-08-18,11.110198494182066
2000-08-21,11.118412046543463
2000-08-22,11.121149897330595
2000-08-23,11.123887748117728
2000-08-24,11.126625598904859
2000-08-25,11.129363449691992
2000-08-28,11.137577002053389
2000-08-29,11.14031485284052
2000-08-30,11.143052703627653
2000-08-31,11.145790554414784
2000-09-01,11.148528405201917
2000-09-04,11.156741957563312
2000-09-05,11.159479808350445
2000-09-06,11.162217659137577
2000-09-07,11.16495550992471
2000-09-08,11.16769336071184
2000-09-11,11.175906913073238
2000-09-12,11.178644763860369
2000-09-13,11.181382614647502
2000-09-14,11.184120465434633
2000-09-15,11.186858316221766
2000-09-18,11.195071868583161
2000-09-19,11.197809719370294
2000-09-20,11.200547570157427
2000-09-21,11.203285420944558
2000-09-22,11.206023271731691
2000-09-25,11.214236824093087
2000-09-26,11.21697467488022
2000-09-27,11.219712525667351
2000-09-28,11.222450376454484
2000-09-29,11.225188227241615
2000-10-02,11.233401779603012
2000-10-03,11.236139630390143
2000-10-04,11.238877481177276
2000-10-05,11.241615331964407
2000-10-06,11.24435318275154
2000-10-09,11.252566735112936
2000-10-10,11.255304585900069
2000-10-11,11.2580424366872
2000-10-12,11.260780287474333
2000-10-13,11.263518138261464
2000-10-16,11.271731690622861
2000-10-17,11.274469541409994
2000-10-18,11.277207392197125
2000-10-19,11.279945242984258
2000-10-20,11.28268309377139
2000-10-23,11.290896646132786
2000-10-24,11.293634496919918
2000-10-25,11.29637234770705
2000-10-26,11.299110198494182
2000-10-27,11.301848049281315
2000-10-30,11.31006160164271
2000-10-31,11.312799452429843
2000-11-01,11.315537303216974
2000-11-02,11.318275154004107
2000-11-03,11.321013004791238
2000-11-06,11.329226557152635
2000-11-07,11.331964407939767
2000-11-08,11.3347022587269
2000-11-09,11.33744010951403
2000-11-10,11.340177960301164
2000-11-13,11.34839151266256
2000-11-14,11.351129363449692
2000-11-15,11.353867214236825
2000-11-16,11.356605065023956
2000-11-17,11.359342915811089
2000-11-20,11.367556468172484
2000-11-21,11.370294318959617
2000-11-22,11.373032169746748
2000-11-23,11.375770020533881
2000-11-24,11.378507871321013
2000-11-27,11.38672142368241
2000-11-28,11.38945927446954
2000-11-29,11.392197125256674
2000-11-30,11.394934976043805
2000-12-01,11.397672826830938
2000-12-04,11.405886379192333
2000-12-05,11.408624229979466
2000-12-06,11.411362080766597
2000-12-07,11.41409993155373
2000-12-08,11.416837782340862
2000-12-11,11.425051334702259
2000-12-12,11.427789185489392
2000-12-13,11.430527036276523
2000-12-14,11.433264887063656
2000-12-15,11.436002737850787
2000-12-18,11.444216290212184
2000-12-19,11.446954140999315
2000-12-20,11.449691991786448
2000-12-21,11.45242984257358
2000-12-22,11.455167693360712
2000-12-25,11.463381245722108
2000-12-26,11.46611909650924
2000-12-27,11.468856947296372
2000-12-28,11.471594798083505
2000-12-29,11.474332648870636
2001-01-01,11.482546201232033
2001-01-02,11.485284052019164
2001-01-03,11.488021902806297
2001-01-04,11.490759753593428
2001-01-05,11.493497604380561
2001-01-08,11.501711156741958
2001-01-09,11.50444900752909
2001-01-10,11.507186858316222
2001-01-11,11.509924709103354
2001-01-12,11.512662559890487
2001-01-15,11.520876112251882
2001-01-16,11.523613963039015
2001-01-17,11.526351813826146
2001-01-18,11.529089664613279
2001-01-19,11.53182751540041
2001-01-22,11.540041067761807
2001-01-23,11.542778918548938
2001-01-24,11.545516769336071
2001-01-25,11.548254620123203
2001-01-26,11.550992470910336
2001-01-29,11.55920602327173
2001-01-30,11.561943874058864
2001-01-31,11.564681724845997
2001-02-01,11.567419575633128
2001-02-02,11.570157426420261
2001-02-05,11.578370978781656
2001-02-06,11.58110882956879
2001-02-07,11.58384668035592
2001-02-08,11.586584531143053
2001-02-09,11.589322381930184
2001-02-12,11.597535934291582
2001-02-13,11.600273785078713
2001-02-14,11.603011635865846
2001-02-15,11.605749486652977
2001-02-16,11.60848733744011
2001-02-19,11.616700889801505
2001-02-20,11.619438740588638
2001-02-21,11.62217659137577
2001-02-22,11.624914442162902
2001-02-23,11.627652292950033
2001-02-26,11.63586584531143
2001-02-27,11.638603696098563
2001-02-28,11.641341546885695
2001-03-01,11.644079397672828
2001-03-02,11.646817248459959
2001-03-05,11.655030800821356
2001-03-06,11.657768651608487
2001-03-07,11.66050650239562
2001-03-08,11.663244353182751
2001-03-09,11.665982203969884
2001-03-12,11.67419575633128
2001-03-13,11.676933607118412
2001-03-14,11.679671457905544
2001-03-15,11.682409308692677
2001-03-16,11.685147159479808
2001-03-19,11.693360711841205
2001-03-20,11.696098562628336
2001-03-21,11.698836413415469
2001-03-22,11.7015742642026
2001-03-23,11.704312114989733
