fecha,pbi,impo,oferta_global,demanda_global,consumo_priv,consumo_pub,expo,fbkf,var_existencias,objetos_valiosos,discrepancia
2004-03-01,95.40074225385659,94.83745620005561,95.32358076477544,95.3235225355323,95.63760119877934,94.93483355157944,97.30238949988701,91.31815614115953,,,
2004-06-01,99.0480055142365,97.64080964510367,98.85859742491918,98.85858635231308,98.69972174480654,96.54934731425058,101.07784626112633,97.65175806779249,,,
2004-09-01,101.51935416508806,102.6451143838895,101.68907431798453,101.68910546738078,101.42587873951967,102.21771025064687,100.81968415802348,103.83638989725522,,,
2004-12-01,103.87172345435356,103.84790265031727,103.86804898863934,103.86808506899253,104.52424975817316,105.1868452405619,100.4171519749753,106.7906747987835,,,
2005-03-01,103.46450744837988,103.77075767061366,103.50945434291681,103.50945434236267,102.9968667767476,111.56651361523096,97.66378545373394,109.44606952605305,,,
2005-06-01,104.14386138007305,106.1085939266623,104.42538944939315,104.4253894490887,103.76276776631418,114.14002337131262,100.46591469345341,110.06216295318137,,,
2005-09-01,114.67303166577997,105.71101735645118,113.2537925154146,113.2537925160608,114.35207542694205,120.82687773993707,104.91629136295641,115.10218086305801,,,
2005-12-01,119.37802240824655,109.92843884699725,117.86405479606445,117.86405479566973,118.4746648224637,129.30363651054756,111.39217555432157,117.76832981757681,,,
2006-03-01,120.89124468903248,115.37960247380188,120.04460989077953,120.0446098907751,118.53878710931569,136.10913137701067,114.06422584760641,123.7371200524236,,,
2006-06-01,118.55026443444198,117.54656105250618,118.4076020027903,118.40760200258661,114.47388107716225,141.98723515375457,116.71419353285444,124.1827185751289,,,
2006-09-01,129.54293899668554,120.52528934205517,128.0707254870843,128.07072548709732,125.93450395523126,145.48572926263233,121.73151811878978,131.41257177831844,,,
2006-12-01,133.16584321400185,120.43666098260357,131.08246524392152,131.0824652444555,129.42599939006254,154.05738299953498,125.08684308879394,133.700532228367,,,
2007-03-01,134.24494558938827,123.93989700387719,132.56599152325083,132.5659915230782,128.4057736300898,159.4968479329439,129.61870477314363,132.9886565872368,,,
2007-06-01,134.0531904427567,126.95124943749816,132.99836316124575,132.99836316161458,129.7651041833943,170.30168176609996,127.14202396045991,136.23642955154685,,,
2007-09-01,149.7486059916207,134.60235747761163,146.98580605200107,146.9858060518789,146.19618782311247,180.85554037972727,134.76854647538136,146.71128580277937,,,
2007-12-01,158.98950800785983,134.66951916090872,154.62978553361467,154.62978553371636,148.53099627492458,190.09984499839592,151.9204326063905,151.43642528764263,,,
2008-03-01,167.39464839027926,137.95890757258093,161.9927564890407,161.99275648864432,155.07845058879423,204.73369672772566,168.9646455579363,155.07156857518615,,,
2008-06-01,170.6317156969208,150.0407717902986,167.10469762910373,167.10469762922824,161.96749314269854,218.31696716820312,168.7039680007344,159.3642569652034,,,
2008-09-01,182.9260229440088,151.3497905047078,176.88591967148758,176.88591967193358,172.98057249495102,228.45684629466598,171.92542545098698,166.50111881178736,,,
2008-12-01,190.49214218662354,151.10581308836882,183.50401687362907,183.5040168734951,176.65601738800783,245.93566472015183,165.2573383567678,173.3822762104318,,,
2009-03-01,192.25678602777467,145.79505811525715,184.89762244118197,184.89762244069578,181.65666128170258,256.5731148948132,160.56759807743805,179.05903761570022,,,
2009-06-01,198.26824861874763,157.32647081484677,192.4418434610365,192.44184346151357,184.74468938691544,268.8325577440048,177.47989349361762,183.80714949315802,,,
2009-09-01,207.97599548578103,158.83762885427575,199.72879683377388,199.72879683409178,193.5850726666979,267.8689375247924,186.5587687418503,190.87377877804215,,,
2009-12-01,220.76789225736832,158.37522945045487,209.944082222772,209.94408222292398,202.6192239386216,283.87955491723073,191.52215681017657,195.29027728429625,,,
2010-03-01,231.98837964860584,162.26543922241714,219.68176346820795,219.68176346808792,217.52112824037556,295.2745318549183,196.5903355308345,205.19015355146246,,,
2010-06-01,229.7936810442736,171.08187895226027,219.75883095778715,219.75883095786918,220.46993144783607,312.89646735013304,194.18151497783342,207.273720533694,,,
2010-09-01,256.19508674574274,170.65285888818914,238.6989158515907,238.6989158513421,240.66846186021598,333.3332359281636,202.1417403935434,214.52332938812594,,,
2010-12-01,273.743094466418,171.4508214925636,252.45227381026507,252.45227381024839,252.67555942613336,353.4120156887675,218.80010097147547,216.5548259220611,,,
2011-03-01,285.18106379234223,177.36474227217394,262.98703063910335,262.98703063935045,260.7288114281056,385.47187999588203,234.13530297641438,232.85272568991124,,,
2011-06-01,291.92582963699965,193.51365693424611,272.7187031680427,272.71870316784816,269.61855074507565,410.7846057033086,248.61314441753532,240.64860756775818,,,
2011-09-01,316.33852212784745,195.3064911119823,288.5155942917406,288.5155942917688,287.0746895704413,429.75392009224123,256.8065721651807,247.65551348496425,,,
2011-12-01,332.7866644769644,192.02629425441015,301.7620121288305,301.76201212918016,298.46024767333074,455.59757784843964,253.18623167132768,256.1847743127263,,,
2012-03-01,348.68566100114316,192.29965512979905,316.25973540853846,316.2597354083439,314.8978491925619,489.24729252483303,256.3229092585921,277.029169395495,,,
2012-06-01,362.7475661588982,215.24853647211506,335.0735079446582,335.07350794438315,336.5698946128892,524.6588920627482,273.12997172037836,295.5461035625902,,,
2012-09-01,384.5024871116417,206.44915285385997,345.9616943744675,345.96169437420394,341.48701428144545,528.0335972586282,283.8771137276533,293.23107130843533,,,
2012-12-01,403.1597401404473,209.51103130804233,361.5953630873249,361.5953630873849,356.8748316496383,556.7827586993824,291.2975780323874,305.0155005003698,,,
2013-03-01,426.67886619864726,232.59950450449637,386.52963519154997,386.5296351915039,384.2753974385836,584.5217618495072,301.0423083562883,343.9604441023402,,,
2013-06-01,436.2999824904661,258.023031097785,401.156237253412,401.15623725318477,403.18663514318445,622.0320502081059,323.9756535162986,358.16652764315256,,,
2013-09-01,476.3329325845123,261.21582376748626,429.10470740974773,429.1047074100357,425.88449443913527,644.2518595314075,333.5063722531811,376.6159346355067,,,
2013-12-01,520.7910362708215,282.48421806472544,470.1807610854387,470.18076108572086,468.19045834898486,699.6496519035531,350.1538986101504,412.2748272263128,,,
2014-03-01,583.7948262790837,356.81574269946435,537.0291214692342,537.029121469429,533.0750823889289,752.4513278701016,438.3800354740707,489.7233174171446,,,
2014-06-01,618.2977317117943,385.5243919165619,575.865244626822,575.8652446269908,560.3216667663417,835.6832173526842,498.6929875738353,522.4542610544016,,,
2014-09-01,678.1936786305299,386.0944117153485,619.6712381080358,619.6712381082136,622.1604545713393,865.8334657031029,485.980004552788,552.9339266632277,,,
2014-12-01,729.6568321539007,396.64541858904056,667.8160294691447,667.8160294695037,675.0274948902464,962.4989940369444,466.61661605252044,583.8558944481293,,,
2015-03-01,756.9966805034876,383.907793965643,685.1616093705904,685.1616093705907,693.5823964548777,987.0537201624135,458.56782330433896,617.2176973866079,,,
2015-06-01,752.1749660725158,390.7230678839643,687.0107370678331,687.0107370678332,699.3422217309376,1072.7115068991811,460.4588976337832,629.5198443571148,,,
2015-09-01,866.1969976170271,389.84944456392816,765.3154955477825,765.3154955477822,777.9707975975865,1123.5946196303594,472.81949186717736,674.7993566561979,,,
2015-12-01,931.1229327522136,426.4200903442293,829.3694259174274,829.3694259174277,850.6412648702124,1250.9438840506793,495.4031500004225,705.054652242829,,,
2016-03-01,1033.9590414676231,585.8321923678807,940.1229128143584,940.122912813857,927.1849693027557,1318.2971354488532,671.5053206106737,860.6337329530163,,,
2016-06-01,1106.1548834785697,554.8580422950845,996.9537778797198,996.9537778794077,990.7263534007202,1462.5589671823534,688.4321216618604,854.1546907604788,,,
2016-09-01,1228.0881391404985,596.402574776264,1090.6838103606517,1090.6838103604146,1110.5971802563568,1550.0232019521507,756.8399931156226,890.8956848455022,,,
2016-12-01,1293.1549223172153,656.6369982440714,1158.615394003018,1158.6153940028953,1169.532883058717,1678.4081429226603,777.4740551078162,930.489438523202,,,
2017-03-01,1356.0714221559763,662.6730330456811,1202.2827308176313,1202.282730816873,1203.79836266044,1740.9777710458623,770.0182816971907,1046.9339519298815,,,
2017-06-01,1356.395884552108,658.7744240687416,1207.5052169907126,1207.505216986677,1245.694689438675,1860.6768545417053,785.8083880329342,1024.505875641803,,,
