indice_tiempo,ica_expo_totales,ica_exportacion_productos_primarios,ica_exportacion_manufacturas_origen_agropecuario,ica_exportacion_manufacturas_origen_industrial,ica_exportacion_combustible_energia,ica_importaciones_totales,ica_importaciones_bienes_capital,ica_importaciones_bienes_intermedios,ica_importaciones_combustibles_lubricantes,ica_importaciones_piezas_accesorios_bienes_capital,ica_importaciones_bienes_consumo,ica_importaciones_vehiculos_automotores_pasajeros,ica_importaciones_resto,ica_bienes_capital_partes_piezas,ica_bienes_intermedios_combustibles_lubricantes,ica_importaciones_bs_consumo_vehiculos_automotor_pasajeros,saldo_comercial
1910-01-01,373.1223628691983,,,,,363.7974683544304,,,,,,,,,,,9.32489451476792
1911-01-01,328.2700421940928,,,,,388.3966244725738,,,,,,,,,,,-60.12658227848099
1912-01-01,481.0970464135021,,,,,428.52320675105483,,,,,,,,,,,52.57383966244722
1913-01-01,497.8481012658228,,,,,475.86497890295357,,,,,,,,,,,21.98312236286921
1914-01-01,388.2203389830509,,,,,310.59322033898303,,,,,,,,,,,77.62711864406785
1915-01-01,553.5983263598326,,,,,290.50209205020917,,,,,,,,,,,263.09623430962347
1916-01-01,551.822033898305,,,,,352.58474576271186,,,,,,,,,,,199.23728813559316
1917-01-01,548.421052631579,,,,,379.12280701754395,,,,,,,,,,,169.29824561403507
1918-01-01,813.1696428571429,,,,,507.90178571428567,,,,,,,,,,,305.26785714285717
1919-01-01,1018.7391304347827,,,,,648.0,,,,,,,,,,,370.73913043478274
1920-01-01,934.2125984251968,,,,,836.5748031496063,,,,,,,,,,,97.6377952755905
1921-01-01,485.7643312101911,,,,,542.5159235668789,,,,,,,,,,,-56.751592356687816
1922-01-01,554.6570397111914,,,,,565.8483754512635,,,,,,,,,,,-11.191335740072187
1923-01-01,604.5172413793103,,,,,680.5862068965517,,,,,,,,,,,-76.0689655172414
1924-01-01,787.1917808219179,,,,,645.0,,,,,,,,,,,142.1917808219178
1925-01-01,792.2088353413653,,,,,800.3212851405622,,,,,,,,,,,-8.112449799196911
1926-01-01,728.9068825910931,,,,,756.8016194331983,,,,,,,,,,,-27.89473684210528
1927-01-01,971.9915254237288,,,,,825.1271186440679,,,,,,,,,,,146.86440677966095
1928-01-01,1015.5084745762713,,,,,805.7627118644068,,,,,,,,,,,209.74576271186444
1929-01-01,906.9456066945606,,,,,819.7071129707113,,,,,,,,,,,87.23849372384942
1930-01-01,509.3795620437956,,,,,613.1386861313867,,,,,,,,,,,-103.75912408759119
1931-01-01,420.7514450867052,,,,,339.2485549132948,,,,,,,,,,,81.50289017341042
1932-01-01,331.05398457583544,,,,,214.98714652956298,,,,,,,,,,,116.0668380462725
