fecha,pbi,imp_netos,iva,imp_importaciones,vab,agro,pesca,mineria,industria,elect_gas_agua,construccion,comercio,hoteles,transporte,intermediacion_fin,inmobiliarias,admin_publica,ensenanza,salud,otros_servicios,hogares_dom
2005-09-01,590219.5591426293,48371.68629707488,38827.053910560004,4132.02842248,498888.79051251436,34028.26459026955,973.2126578769132,30311.17104173365,108491.37035152048,11648.483699230877,21193.503968053843,73347.89923825055,9744.96165841206,36422.0502757322,19003.34198964546,67000.30377005864,27847.489109472474,22464.716407376472,17039.83310086543,15807.143883250683,3565.0447707650897
2005-12-01,623457.9297448428,49104.166308935055,38868.80021848,4441.34011164,531043.6231057878,37898.69758666519,1141.4524260841126,33201.181769923234,115834.46042850864,10712.899432729395,22154.276798081362,75802.15679705249,10168.877273235772,38395.20500874378,20201.081240148356,71893.3774738664,31186.927771103892,24873.15840838757,17357.59669626487,16522.949487136713,3699.3245078559116
2006-03-01,643562.3795870609,47744.47335449856,42007.15496036001,4547.09142272,549263.6598494824,39588.145427645664,2763.0494501858543,37371.32091243869,114644.306752128,10472.130758797155,26135.158010981024,82383.28970925687,12614.194415007383,41058.79798205909,21380.549323048137,64554.80186655195,31784.499677440836,24843.349100683285,18245.298226952986,17176.428839017328,4248.33939728804
2006-06-01,727989.1872669109,53139.09002817418,44613.79296296,4807.3104754000005,625428.9938003768,71886.85710702656,3382.689203139679,42425.06190136443,126623.22036265391,11726.550344896134,26960.693857270933,88092.17712969915,10442.12966964557,45549.78429302774,21869.588064618558,70815.50140637808,34131.37240023809,27329.374267239295,21057.831820968055,18922.527508480023,4213.634463730406
2006-09-01,729299.498006196,59933.49331399869,48562.049553280005,5433.84562128,615370.1095176373,35888.29225418961,2431.978825446818,43688.24514055638,132929.86852165032,12780.206825888026,29699.219035023732,91627.02438471414,12245.6246517141,44995.64265230551,22504.974001767114,76364.56797941342,35272.29723358871,28756.353456567478,21604.02817382054,20063.755560178135,4518.030820813193
2006-12-01,762766.0220752261,62959.95460813905,53234.238964480006,5767.7394150400005,640804.089087567,41008.85539106211,1658.3656182490745,40480.17871195595,137754.1640257945,11683.639874071294,30896.141323795662,94146.18166488296,12439.379785514388,46641.47926609538,25503.28971412095,81561.62761236375,39064.74895479046,31041.901979426242,21416.22636482585,20316.672184702038,5191.236615916317
2007-03-01,774387.7878412767,58346.170471121324,53587.98473999999,5941.71558848,656511.9170416754,47091.855040836286,2776.26068093516,35372.52472332541,131847.99750442195,12157.580219602625,34202.802896109744,101206.10470844268,15981.183004732848,49740.53591627054,26524.006681788233,77398.6003738509,39930.49341020251,31879.097258984686,23531.473177498585,21703.88257027316,5167.518874400181
2007-06-01,904350.3880930806,66445.55805330722,57907.393668439996,6174.099517559999,773823.3368537733,102532.4929968631,3469.1389121208135,37909.51106138116,147633.1972681955,15099.440711020336,37107.28178504884,110045.84551389367,13469.318672684252,57025.12651836871,27134.079006251217,85989.98247439753,44653.71215968817,35399.39976902858,28373.268286721832,22611.569685648534,5369.972032461182
2007-09-01,914103.9674019193,72147.10393789904,66936.50528443999,7473.45748377068,767546.9006958096,47773.92389109753,1709.958650950558,40219.850922193946,157883.96872120493,16206.072045004197,42304.49300807537,121888.86560400677,15844.0263160249,55927.99709679344,29098.1775982037,93355.5505542359,47704.79305695422,38020.11732338875,28125.007096724323,25843.094013351838,5641.004797599159
2007-12-01,995078.5529513356,84902.29935189094,72245.38675828,8471.89442828,829458.9724128846,60668.89085507912,1362.028517832697,43462.9349792303,174282.58361367512,14039.556132875596,43907.13545054573,126980.66921326183,17004.553417911506,59638.97463830848,31833.91126759603,102623.48544896723,52370.187458141416,41170.61507893605,28532.43453392555,25403.40858410862,6177.603222489203
2008-03-01,1032356.8732593583,87728.20019625589,73600.98904567999,8286.774261,862740.9097564224,65889.4764144126,2478.0928633968347,42522.98960172498,169758.0264343378,17863.398213716442,49906.19964993346,135812.75872900852,21210.726114484427,63936.33527724242,32710.39961180233,95966.8624836161,54402.8391834538,43214.277058427775,33451.333920173936,26888.881802837088,6728.312397853857
2008-06-01,1213883.4109890296,91076.13916816039,79688.6834086,8949.8238708,1034168.7645414692,145075.9045141796,4248.410559613155,40143.446890739324,193751.4064362136,16811.719031551293,54025.674823255984,155666.46079857796,18069.039649535836,73960.33518954707,36678.95614421341,108500.88355224603,61292.77180819188,48548.89006901181,40086.07478178847,30162.879433330374,7145.910859473135
