fecha,pbi
2004-03-01,460369.4422329487
2004-06-01,514395.6817723617
2004-09-01,481151.9799435081
2004-12-01,484543.6768765623
2005-03-01,493602.53057785495
2005-06-01,581668.2498796025
2005-09-01,514697.78950542817
2005-12-01,522255.20005077147
2006-03-01,532348.2120169173
2006-06-01,614076.3926085439
2006-09-01,562978.9656268766
2006-12-01,572794.0466305884
2007-03-01,576846.8856994272
2007-06-01,674620.5630064849
2007-09-01,610425.6940148536
2007-12-01,625876.8678635969
2008-03-01,616720.3570644783
2008-06-01,711405.5004552329
2008-09-01,647087.9597424942
2008-12-01,613490.821702641
2009-03-01,578553.0442424045
2009-06-01,631197.7518600689
2009-09-01,610519.8546117273
2009-12-01,615220.8549372972
2010-03-01,611607.33658973
2010-06-01,733730.7739689033
2010-09-01,668566.5094889859
2010-12-01,668190.0977195739
2011-03-01,662325.5859726951
2011-06-01,766332.9545716126
2011-09-01,711417.3919301049
2011-12-01,703050.4564079925
2012-03-01,672685.9936305042
2012-06-01,730838.2725927759
2012-09-01,703461.6525301962
2012-12-01,706958.0390823188
2013-03-01,677085.5291731509
2013-06-01,776486.60279942
2013-09-01,721458.9442161823
2013-12-01,706597.3450225069
2014-03-01,671066.0466350627
2014-06-01,760576.8683480041
2014-09-01,690879.7982516834
2014-12-01,686701.4706187105
2015-03-01,672749.8113916992
2015-06-01,791235.9655416702
2015-09-01,718281.2654497817
2015-12-01,703681.544169008
2016-03-01,677652.0891157027
2016-06-01,760703.2801516564
2016-09-01,694382.4757762305
2016-12-01,693173.5493470578
2017-03-01,681444.7661102224
2017-06-01,778401.6764493167
2017-09-01,721120.4268527941
2017-12-01,724592.9216389629
2018-03-01,707324.2680572141
2018-06-01,747428.2999545746
2018-09-01,696101.5835218076
2018-12-01,678655.6203844536
2019-03-01,665848.7152997089
2019-06-01,751784.4607771325
2019-09-01,683900.8985525784
2019-12-01,671361.13972242
2020-03-01,632389.35353461
2020-06-01,609379.9894648013
2020-09-01,614192.4784042229
2020-12-01,642403.3231979503
2021-03-01,652831.9767063216
2021-06-01,723516.6224906748
2021-09-01,686756.4678266742
2021-12-01,696134.669112115
2022-03-01,697625.2846663581
2022-06-01,782338.628533735
2022-09-01,732662.1638755013
2022-12-01,712740.4578287383
2023-03-01,703987.5043215773
2023-06-01,737941.9093740722
2023-09-01,728638.5845686822
2023-12-01,700509.9345723233
2024-03-01,669057.7333851669
2024-06-01,729947.7852745531
2024-09-01,714524.3655499592
2024-12-01,718991.4609365795
2025-03-01,708113.8056701763
2025-06-01,776528.7760907853
2025-09-01,737795.7416134314
2025-12-01,733788.6697850603
