indice_tiempo,pib_precios_corrientes,pib_precios_2004,tcn_pesos_dolares,pib_dolares_precios_corrientes,poblacion,pib_per_capita_pesos_corrientes,pib_per_capita_dolares_corrientes,indice_precios_constantes
2022-10-01,104354529.22768565,712740.4578287383,162.19968804347823,643370.7147433787,46155287.118082784,2260944.2112386185,13939.263623198607,127.90465956151711
2023-01-01,120719556.7726799,703987.5043215773,192.34758888888905,627611.489543622,46175003.655045874,2614391.926734325,13592.018188720562,126.27995643502197
2023-04-01,159215855.41502434,737941.9093740722,231.73631648351648,687056.1240941682,46194728.61448565,3446623.8939024257,14873.0416803168,132.3141121297562
2023-07-01,206516399.84174532,728638.5845686822,312.14755978260854,661598.6361885103,46214462.000000015,4468653.120785983,14315.835510289186,130.59022646351443
2023-10-01,283181180.08567715,700509.9345723233,446.75225760869586,633866.2541996859,46236266.81329156,6124654.943038588,13709.287057264495,125.4896618123248
2024-01-01,423472034.40718853,669057.7333851669,834.3124560439562,507570.0732255131,46258081.91448567,9154552.39129962,10972.570677786103,119.79877726221491
2024-04-01,559938388.8647271,729947.7852745531,885.9139219780221,632046.0430450467,46279907.30843638,12098952.254441006,13657.029147286794,130.6398659512983
2024-07-01,642862095.294979,714524.3655499592,942.7282608695652,681916.6476477622,46301742.99999999,13884187.800337864,14727.666896854453,127.81920565495956
2024-10-01,709365943.3672845,718991.4609365795,1001.6077884057971,708227.2637839033,46323067.01448926,15313449.412695492,15288.868147749778,128.55910428944028
2025-01-01,723984891.7741555,708113.8056701763,1056.4995377777777,685267.589701906,46344400.84963677,15621841.65727174,14786.41598852986,126.5558430176304
2025-04-01,833779385.5021062,776528.7760907853,1151.5622703296704,724041.9445692772,46365744.50996537,17982659.27387195,15615.88090996057,138.7192486058626
2025-07-01,893277009.9832231,737795.7416134314,1331.3369554347826,670962.378334567,46387097.99999999,19257014.309953667,14464.41806587183,131.73930012826506
2025-10-01,939450203.4897723,733788.6697850603,1437.9619597826088,653320.6230516685,46406982.71040757,20243725.159901083,14078.067241056593,130.9676637939579
