fecha,pbi,impo,oferta_global,demanda_global,consumo_priv,consumo_pub,expo,fbkf,var_existencias,objetos_valiosos,discrepancia
2004-03-01,439195.8650001726,69300.98673287862,508496.8517330512,508496.633239643,291921.51061212993,47170.59560483134,100001.7552903517,65561.35320695453,3841.41852537548,,
2004-06-01,509498.6632468832,78118.8061342756,587617.4693811588,587617.3852829082,334394.6589260316,50275.44449939442,120749.89710227489,80070.02806461295,2127.356690594296,,
2004-09-01,488462.3825911835,87675.42534154924,576137.8079327327,576137.957657771,314867.0802768507,54912.18830573037,120599.67062461989,82294.8183003922,3464.2001501778004,,
2004-12-01,503303.8680607793,91775.9179136897,595079.785974469,595079.9388410891,307144.29254431714,63316.925050190854,121402.37877108427,80486.50888039765,22729.8335950993,,
2005-03-01,510703.4270151163,88106.33085835255,598809.7578734689,598809.7578702637,329383.73535335076,60446.017998914125,116402.46462199275,88292.80899623311,4284.730899772886,,
2005-06-01,605771.7758465102,103231.14457395862,709002.9204204688,709002.9204184017,400294.0050575111,66443.38670989493,138861.52384866087,104017.9437655482,-613.9389632133748,,
2005-09-01,590219.5591426293,102375.72168727528,692595.2808299046,692595.2808338564,370307.8875171746,71261.08177627633,142090.958869115,103532.80505222286,5402.547619067593,,
2005-12-01,623457.9297448428,109528.9126465569,732986.8423913997,732986.842388945,368695.44949314673,84773.41997248743,144309.47515352926,108464.65877516926,26743.838994612328,,
2006-03-01,643562.3795870609,111472.72410810947,755035.1036951704,755035.1036951428,420680.0728499129,77417.34897791866,143494.78432027518,116110.67319549512,-2667.775648459159,,
2006-06-01,727989.1872669109,119596.41054544807,847585.597812359,847585.5978109011,472564.9706164539,85196.54755820855,165070.51189350447,130833.71283691305,-6080.145094179017,,
2006-09-01,729299.498006196,132390.49380631474,861689.9918125108,861689.9918125983,469727.0024640951,88513.6507441167,169541.6449088919,139597.73830184387,-5690.044606349236,,
2006-12-01,762766.0220752261,135004.04864091883,897770.0707161449,897770.0707198019,448843.869825391,104803.31529002971,181289.42002470954,138392.87072482545,24440.594854846193,,
2007-03-01,774387.7878412767,139154.18921558568,913541.9770568624,913541.9770556727,506621.02800736926,97650.6767050758,168496.9189598665,148228.49189903785,-7455.138515676769,,
2007-06-01,904350.3880930806,149392.835976335,1053743.2240694156,1053743.224072338,576216.8994114009,111138.64568574482,193068.36037436526,170803.77769164724,2515.540909180031,,
2007-09-01,914103.9674019193,183313.01687331864,1097416.984275238,1097416.984274326,589438.2317749023,118300.43627035344,207489.64344238988,189101.60950229838,-6912.936715618148,,
2007-12-01,995078.5529513356,184098.6999451606,1179177.252896496,1179177.2528972717,571294.8880208705,138956.88158723252,244066.58584354116,192087.56402626808,32771.333419359624,,
2008-03-01,1032356.8732593583,191232.01150689326,1223588.8847662515,1223588.8847632576,674136.7572386977,130083.88092501654,233518.69462890347,202936.38542612523,-17086.833455485175,,
2008-06-01,1213883.4109890296,220625.26158163598,1434508.6725706656,1434508.6725717343,786479.2578574801,150962.64473625927,249293.10641471308,234221.80476596183,13551.858797320265,,
2008-09-01,1183692.2697064732,231651.13955040163,1415343.4092568748,1415343.4092604434,735708.4201722438,159058.12034225065,290934.3904094423,230523.27564884457,-880.7973123381082,,
2008-12-01,1168651.80837968,199953.49210063458,1368605.3004803145,1368605.300479315,704213.4972490029,186843.96270206655,240742.92356209503,206516.8242355749,30288.092730575718,,
2009-03-01,1112307.4883262962,158748.34424168098,1271055.8325679773,1271055.8325646347,745582.8054341255,168925.3136671262,204977.71606670532,171002.40533113322,-19432.40793445547,,
2009-06-01,1251464.7279338671,164767.15534830542,1416231.8832821725,1416231.8832856833,783242.3632669935,191861.73537639627,262406.91405338224,183569.6537347694,-4848.7831458579285,,
2009-09-01,1269734.745267083,195582.56049985427,1465317.3057669373,1465317.3057692696,811737.1386526237,199109.69134876208,245558.2264587849,207506.67088168586,1405.5784274129992,,
2009-12-01,1358210.1141728326,204508.32772605706,1562718.4418988896,1562718.441900021,803128.6445520653,233980.7892329037,263486.1746464949,215718.27718446965,46404.55628408724,,
2010-03-01,1418857.9499665094,212716.89559377675,1631574.8455602862,1631574.8455593947,955921.0598624218,208372.30437051196,245386.53782325963,223217.86723771857,-1322.9237345173322,,
2010-06-01,1686066.954457782,258778.5400871957,1944845.4945449778,1944845.494545704,1074344.6816862894,241510.39445012668,340952.3085896935,269536.45616702735,18501.65365256719,,
2010-09-01,1712834.5489382918,293358.2009372968,2006192.7498755886,2006192.7498734999,1099323.1538208912,254371.10902464492,339698.42236225295,299912.1042516272,12887.960414083667,,
2010-12-01,1829124.2504157436,301119.7226046277,2130243.973020371,2130243.9730202295,1139978.0110894737,303660.88538640103,332471.95352493075,313472.4744929887,40660.64852643492,,
