Periodo,ITCRM ,ITCRB Brasil,ITCRB Canadá,ITCRB Chile,ITCRB Estados Unidos,ITCRB México,ITCRB Uruguay,ITCRB China,ITCRB India,ITCRB Japón,ITCRB Reino Unido,ITCRB Suiza,ITCRB Zona Euro,ITCRB Vietnam,ITCRB Sudamérica*
1999-05-07,74.53342886847452,82.48584778034056,73.48879463716646,90.23852080077589,73.21302295324024,91.16012016024125,75.19077512270846,58.38606777476499,55.11823779744689,36.26559927673717,83.07625912944098,64.80439541466683,77.53391649947406,58.00974514250511,82.6383812346083
1999-05-08,74.54867873337898,82.50696343472403,73.50561875698966,90.25602057644095,73.22610544724962,91.1922781176351,75.2063655144859,58.38590152935469,55.144367373637266,36.26651990281049,83.09742548706072,64.80996253028759,77.54794811716678,58.01092855168857,82.65644984188363
1999-05-09,74.56393171847236,82.52808449453,73.52244672843416,90.27352374580246,73.2391902789804,91.22444741918062,75.22195913884494,58.385735284417756,55.17050933692093,36.26744055225451,83.118597237493,64.81553012415951,77.5619822742165,58.012111985013796,82.67452245972581
1999-05-10,74.57571174827096,82.49982853350646,73.43221889515016,91.51472287905705,73.25227744885028,90.37742261011319,75.33971835949042,58.38274803815244,55.21281345725613,36.28584205949567,82.68762406619327,64.8017860860313,77.51124634182779,58.01746681012048,83.11808992401797
1999-05-11,74.74708278274798,83.52002512825597,73.73815731341,91.7073172714343,73.26536695727708,90.98381994074398,75.35533963382507,58.38610808700302,55.21507824352229,36.19061616940948,82.44444638602262,64.3727931676314,77.07898165819435,58.01656457547643,83.52756067783844
1999-05-12,74.60577996149983,82.54207240651272,73.46584507917521,91.55022085470681,73.27845880467869,90.44119755749473,75.3709641471446,58.38523655244708,55.23608435140461,36.28768436277874,82.72976411437268,64.8129203471884,77.53930391041263,58.01774812377754,83.15441913612138
1999-05-13,74.62104462975377,82.56320245390789,73.48266394505302,91.56797500573708,73.29155299147307,90.47310190527965,75.3865919001207,58.38507030940358,55.2622697944121,36.28860554949649,82.75084219120703,64.81848819515588,77.55333650308629,58.01893169622325,83.17258978658856
1999-05-14,74.63622643917915,82.5843379104101,73.49948666134932,91.58573259979428,73.3046495180782,90.50501750775194,75.40222289342502,58.38419879885813,55.285234218185394,36.28952675959916,82.77192563836158,64.8240565214374,77.5673716352934,58.01594388471188,83.19076446787646
1999-05-15,74.65149733691533,82.60547877740397,73.51631322894565,91.60349363754617,73.31774838491224,90.5369443688819,75.41785712772945,58.384032558769455,55.31144296137882,36.290447993087355,82.79301445720458,64.82962532607408,77.5814093074936,58.0171274203508,83.2089431808932
1999-05-16,74.6667713591438,82.6266250562746,73.53314364872362,91.62125811966051,73.3308495923933,90.56888249264117,75.43349460370595,58.38386631915411,55.33766412919574,36.29136924996167,82.81410864910465,64.835194609107,77.59544952014646,58.01831098013403,83.22712592654702
1999-05-17,74.58714667583635,83.3959217698857,73.48563911597705,90.01980734397257,73.3439531409397,90.60083188300278,75.27973558061524,58.382994835099645,55.38657191920026,35.49677121473425,82.47894963991588,64.38665679712811,76.9609449845165,58.00906802943896,82.89848823149117
1999-05-18,74.6974858065175,82.66893385518802,73.56681604835254,91.65679741964868,73.35705903096974,90.63279254394118,75.46477928336398,58.379302639470694,55.40634539551521,36.29321183387103,82.85631315755221,64.84633461052596,77.62353756864957,58.0102514248092,83.26350351940023
1999-05-19,74.71276923818762,82.69009637800265,73.58365802996782,91.67457223885877,73.3701672629018,90.66476447943218,75.48042648839021,58.379136413323096,55.43261155316639,36.29413316090726,82.87742347683863,64.8519053289942,77.6375854054195,58.0114348443209,83.28169836841721
1999-05-20,74.13962003738378,82.12185843258861,73.26785834755513,90.02840145104766,73.38327783715438,91.18494332813269,75.17133195033871,58.386022491368,55.432947517278464,35.24156683973967,82.03777159537047,64.16164307201124,76.64223661922382,58.008448468151535,82.440530611325
1999-05-21,74.15478932728232,82.1428809088879,73.28463188744125,90.04586047868791,73.39639075414605,91.21711004223262,75.18691831068179,58.38585624608664,55.45922628603978,35.24246147007652,82.05867336478222,64.16715497105936,76.65610686610299,58.009631850882606,82.45855323275254
