fecha,fbkf_total,construcciones,otras_construcciones,maq_equipo,maq_nacional,maq_importado,eq_transporte,transp_nacional,transp_importado,otros_activos
2004-03-01,71793.86065568627,36460.45492848201,7236.558745380092,21606.70069870658,10219.865230405332,11386.835468301248,6091.19161522047,3794.3035397892822,2296.8880754311876,398.9546678971187
2004-06-01,81991.45351161255,38186.50386633575,8541.557150456685,26735.619468347926,12842.806191118612,13892.813277229314,8133.390224669305,5346.3920724987465,2786.998152170558,394.38280180289433
2004-09-01,79254.94132210438,39217.07298132684,8849.882127300994,23766.233796258974,11278.203454099661,12488.03034215931,6994.575954360811,4258.532081831015,2736.043872529796,427.1764628567596
2004-12-01,75372.45296295412,40190.0848329416,6659.212963776085,22228.600367590923,9902.566616301436,12326.03375128949,5852.021864003986,3338.492330450491,2513.5295335534947,442.53293464154285
2005-03-01,80672.43472385775,40453.18079230061,7365.526650983053,23958.50663039148,11368.329115707644,12590.177514683835,8479.51514113205,5659.147836190633,2820.3673049414165,415.70550905054586
2005-06-01,94508.35870797462,42525.9035370568,8376.62592048316,31506.14716742475,14985.056916131873,16521.090251292877,11669.641065297768,7537.165493979669,4132.475571318099,430.0410177121332
2005-09-01,89948.60416710979,42323.62415882933,8563.899566852819,28720.471046095823,13410.222004201378,15310.249041894445,9900.898763086574,6322.778197519043,3578.1205655675312,439.7106322452479
2005-12-01,92100.02293755974,45290.73520284392,6779.598655781376,29105.593203248238,13109.670219828322,15995.922983419916,10487.320110856703,5546.146763738826,4941.173347117877,436.7757648295084
2006-03-01,93836.57316923379,45601.146704741805,7640.089736661475,29994.869411527776,13088.19222073515,16906.677190792623,10162.15057974016,6903.1528649391885,3258.9977148009716,438.31673656257414
2006-06-01,105355.8130616704,47234.21177333288,9245.257414704796,35657.29759564283,16666.681443029232,18990.616152613595,12790.710386098843,8493.917626898228,4296.7927592006145,428.33589189105857
2006-09-01,106228.60234204463,49579.59601444692,9044.974605117517,35606.85961571976,16625.87243208565,18980.98718363411,11531.338635892967,7726.62799058784,3804.710645305127,465.8334708674544
2006-12-01,103509.58849471423,50584.035385243,6562.568251941363,34363.4097688189,16220.280349147024,18143.129419671877,11516.71531503072,7588.013276288174,3928.702038742546,482.85977368024646
2007-03-01,111459.50015804857,50829.94267640323,7495.13631130713,40561.20410701507,15001.694443914319,25559.50966310075,12092.698483147306,8492.261177963619,3600.4373051836874,480.5185801758329
2007-06-01,125373.05789199457,51752.303712497305,9358.024265715012,48655.41509773172,19606.9840856308,29048.431012100922,15126.050935609612,9907.062416040353,5218.988519569259,481.2638804409189
2007-09-01,128893.70334910932,56089.13129864882,8767.80765978724,49509.09394806741,18881.56811363045,30627.52583443697,14033.978789382956,9171.596857961553,4862.381931421403,493.6916532228812
2007-12-01,126843.69936850498,57278.02553590611,7514.522246030398,49449.92179130731,17879.729706894366,31570.19208441294,12084.07232698282,8699.598477946087,3384.4738490367326,517.1574682783506
2008-03-01,130866.2750307655,56634.33900143492,7969.533891166711,50905.683393071595,16469.501046400175,34436.18234667142,14857.319712935709,9010.126122728463,5847.1935902072455,499.39903215654977
2008-06-01,146972.60805294834,59792.43852039971,9009.37702576228,61173.967613547466,20736.590260572477,40437.37735297499,16498.896587778356,11386.241894827135,5112.65469295122,497.92830546053585
2008-09-01,138451.48746983963,59238.67415393731,8273.666231469933,55368.87868042257,18328.824412878083,37040.05426754449,15030.50782780538,9498.246991103157,5532.260836702223,539.7605762044473
2008-12-01,119110.68925230175,52476.37650646124,7462.6586065267265,47218.50956448617,16630.719453891386,30587.790110594786,11418.194949826498,7154.36086625375,4263.8340835727495,534.9496250011136
2009-03-01,95500.5721063584,42031.03557302732,7417.465648456272,36840.38117850556,11538.56650248703,25301.81467601853,8690.21185386483,6721.417872885835,1968.7939809789957,521.4778525044202
2009-06-01,99870.79079402325,42535.05626250171,7457.849927585017,38705.363421828144,16241.821502051473,22463.54191977667,10646.982739698478,8027.6576883062025,2619.3250513922762,525.5384424098962
2009-09-01,108714.07912083372,48877.436988426816,7192.780796257818,42303.797965357575,16153.213304460534,26150.584660897042,9808.349050443278,8065.518217363959,1742.8308330793195,531.7143203482277
2009-12-01,110460.32612797979,50250.27301988475,6817.83363619828,42675.01351472757,17013.694765517204,25661.318749210368,10194.959764727262,7269.898535084226,2925.0612296430368,522.2461924419138
2010-03-01,108785.85710582584,47554.80416619364,7797.268385369077,41050.74181908512,15080.48146681168,25970.260352273435,11885.266431076454,8297.23779575739,3588.028635319064,497.7763041015534
2010-06-01,130038.89517350178,51996.13809722384,9426.242988593442,52489.03108134576,20598.006846616172,31891.02423472959,15649.275970770257,10442.349502936997,5206.92646783326,478.2070355684851
2010-09-01,139803.95750292117,56567.646558138935,8997.973409302112,57935.25044831664,21709.146049605646,36226.104398710995,15814.263039567286,10322.521795433835,5491.741244133451,488.82404759618265
2010-12-01,144754.3240647099,56609.59359910562,6592.447677825516,62377.800569020736,22536.673233790592,39841.12733523014,18699.8562820059,11202.732359076912,7497.123922928991,474.62593675211605
2011-03-01,139564.46171539812,55248.40723377935,7699.269133091569,60014.48694036073,20009.25473161317,40005.23220874756,16105.150654917634,9591.102101958744,6514.0485529588905,497.1477532488331
2011-06-01,153571.0195551041,57719.46334051161,8301.816625406651,65750.16993961307,25943.51412153167,39806.6558180814,21328.209898395107,13256.67226203008,8071.537636365027,471.35975117765156
2011-09-01,164571.6467049708,62357.03288056812,8679.267311872938,70137.87964710715,25908.234617891852,44229.6450292153,22911.323612569788,13606.226756158518,9305.09685641127,486.1432528527918
2011-12-01,156629.21241772975,61029.028306624416,7105.891412512106,68501.35883083839,24981.815499696633,43519.54333114176,19497.7655736945,12483.937139092874,7013.828434601627,495.1682940603611
2012-03-01,134285.04105704132,55037.252891787364,7491.521744314996,55198.83307303385,19355.278357826213,35843.55471520764,16066.977519849937,10822.233036422347,5244.74448342759,490.4558280551728
2012-06-01,134408.94797285143,55516.26191683951,9401.799933197524,51117.058608575884,22362.280506453793,28754.77810212209,17892.586596517904,12915.628602972489,4976.957993545415,481.24091772060234
2012-09-01,150230.81659457326,57516.44693596992,9238.025438461873,63457.75526000373,23843.327357673345,39614.42790233039,19524.535527640095,13594.885212023379,5929.650315616717,494.0534324976532
2012-12-01,151946.00276177566,58264.3441868956,7249.764278175747,66828.70398233547,25280.19596641803,41548.50801591745,19088.028252675165,12825.729169558821,6262.299083116344,515.162061693657
2013-03-01,133273.1129258469,53566.30734966173,8424.009326557478,54090.38167763449,18717.646060107047,35372.73561752745,16676.677494001266,11959.856761277779,4716.820732723487,515.7370779919418
2013-06-01,150469.4153047585,56470.205936295875,9890.12307171475,60701.176741106785,25846.726416087404,34854.45032501938,22887.043598724442,15411.687566861321,7475.356031863123,520.8659569166614
2013-09-01,152737.1141048032,58287.921952855,9428.913235358705,61658.96657565586,25597.552829066764,36061.413746589096,22825.834741309613,13927.986587817886,8897.848153491726,535.4775996240111
2013-12-01,147746.6296025357,57590.78074637841,8058.860005622217,59944.73889166031,25543.293466895368,34401.44542476494,21610.79238326879,12783.461296983243,8827.331086285547,541.4575756059592
2014-03-01,131370.5363099219,53048.979188969766,8672.89724398855,52769.88871365892,18204.45884950406,34565.42986415486,16354.594680092669,9527.763223714433,6826.831456378235,524.1764832120185
2014-06-01,141073.1894297702,55288.19322671657,10558.561480176455,56770.41229197709,22946.292072237542,33824.12021973955,17927.35665654005,11663.581616094563,6263.775040445488,528.6657743600308
2014-09-01,140281.45358859547,55286.07230775074,9838.403770641591,57763.33713048822,23424.22619810511,34339.11093238311,16864.577402350573,10898.722215558755,5965.855186791819,529.0629773643435
2014-12-01,132033.40948911634,54164.08409340513,8418.815230689224,54329.654677592145,21843.695510064237,32485.959167527904,14585.304667515251,9001.231388229955,5584.073279285295,535.5508199145963
2015-03-01,128790.25331296679,52468.22239054816,8858.836345172062,53964.566852493524,18451.737863516253,35512.82898897727,12961.25001406713,9512.277682761085,3448.9723313060463,537.377710685913
2015-06-01,143522.13876214108,56615.13347358688,10375.966331386006,58006.15671107074,23544.371557331582,34461.78515373916,17985.619118381906,11060.850021354116,6924.769097027791,539.263127715556
2015-09-01,149008.18693087087,57890.314755977546,10632.374267228384,61264.91359727757,23596.591313796383,37668.32228348119,18682.19224285668,12032.297629243089,6649.89461361359,538.3920675306789
2015-12-01,142300.30190956546,56244.58450772515,8050.305143233042,61413.30107957419,26838.66796215239,34574.6331174218,16059.502779971477,10188.239898911637,5871.262881059839,532.6083990615952
2016-03-01,124425.51841156663,49762.488701459566,7371.829953706149,53254.75991062382,18852.741873660332,34402.01803696348,13505.601677031109,9578.572238463586,3927.0294385675224,530.838168745998
2016-06-01,134589.43795451926,46428.674203227776,8925.608154325973,60855.439493661484,23543.002547977547,37312.436945683934,17855.857151483902,11603.053047530688,6252.804103953215,523.8589518201044
2016-09-01,137185.4950778228,50045.18793288434,8708.681543513465,58007.6053508131,23507.71500357285,34499.89034724025,19894.277632448837,10502.244460212534,9392.0331722363,529.7426181630252
2016-12-01,134851.77049515006,49672.69597165405,6064.365714992489,56661.134495632214,25480.543900643086,31180.590594989128,21909.41360688881,10064.33290925299,11845.08069763582,544.1607059825127
2017-03-01,131486.24599536855,50563.79497882709,6899.673223204211,55276.11048236821,19653.617155291864,35622.49332707635,18199.236884876635,10543.529430069197,7655.707454807436,547.4304260923827
2017-06-01,147917.72513381104,52413.68348266936,7902.7378387451545,66275.69878098424,27137.916112030576,39137.78266895366,20779.26914806724,12016.184926657907,8763.084221409334,546.3358833450424
2017-09-01,160592.39690911057,57379.723772562415,8810.692197735814,72675.40227179966,27372.63252106787,45302.769750731786,21171.37212607327,12024.485559441755,9146.886566631518,555.2065409394194
2017-12-01,162113.68977869212,58953.518033886394,7911.503704716214,74621.37930566375,29299.281989635936,45322.097316027815,20053.37764595163,11851.13566845987,8202.241977491762,573.9110884741144
2018-03-01,152300.6042109982,56461.11849168203,7733.483741089681,67202.05492497218,22491.852299561397,44710.20262541078,20347.560342267894,12313.132338758396,8034.428003509497,556.3867109864498
2018-06-01,151659.16792457036,55379.39509942616,8665.30182699646,68907.47510618412,24808.26932522137,44099.20578096275,18142.30439791375,11007.577972754303,7134.72642515945,564.6914940498829
2018-09-01,142066.4152474825,56622.17006723623,8522.685022380387,62359.91098341103,21630.701095584507,40729.20988782652,13152.78022018223,7573.567426548651,5579.21279363358,1408.8689542726631
2018-12-01,121488.74616913995,51007.46871714593,7387.364768641004,51504.622590075065,19307.927238485423,32196.695351589642,10284.757056509749,6827.033044522209,3457.7240119875387,1304.5330367682109
2019-03-01,114187.82600362251,50983.303891772324,7496.568242355369,45897.50842925408,14002.93300681484,31894.575422439237,9246.300668446096,6038.232649608449,3208.0680188376473,564.1447717946428
2019-06-01,123592.22780170344,51393.8491712519,9335.80818134546,52884.0195309344,19206.975758135806,33677.04377279859,9398.46425903258,6212.11882281728,3186.3454362153007,580.0866591390933
2019-09-01,127742.49807995031,54029.16153280298,9109.962296497773,53332.3357656556,19331.401875288495,34000.93389036711,9959.299046268206,7221.319657753177,2737.9793885150284,1311.7394387257352
2019-12-01,111464.9398238233,48125.118232473855,6832.421910224711,46301.96389879308,19311.100836584006,26990.86306220908,9007.742447286982,5849.1445697406725,3158.597877546309,1197.6933350446745
2020-03-01,93438.79884956792,38713.925507150576,6397.83184943917,39642.69156123207,13184.511727406529,26458.179833825543,8105.849822458101,5191.4737781488375,2914.3760443092633,578.5001092879929
2020-06-01,76231.15786545725,27302.68925262253,3525.2514085195253,37908.48424805008,14904.26169177394,23004.222556276145,7044.9702346260165,5090.597371212169,1954.372863413848,449.7627216390976
2020-09-01,116052.69910475849,46887.301743535354,6053.213828827427,49639.814657045536,21788.500653378564,27851.314003666972,12263.947155638321,8311.640332510297,3952.306823128024,1208.4217197118564
2020-12-01,128941.85089797007,53101.69656790302,4957.007500629891,56016.54796109415,24940.971545111424,31075.576415982723,13556.930666573899,9546.547651391431,4010.383015182467,1309.6682017691048
2021-03-01,129688.33432883563,52883.39095026828,6705.136252327725,54971.60822855196,20124.278614026625,34847.32961452533,14523.495754144466,10338.674811289146,4184.82094285532,604.7031435431935
2021-06-01,136177.6969330454,50413.30005220847,8116.320435660242,62044.69881711464,27181.246323963984,34863.45249315065,14882.64874402645,11266.08423993208,3616.5645040943687,720.7288840355997
2021-09-01,141727.5491613502,55888.359938263326,9164.899977136673,61490.19510018562,26811.165312175137,34679.029788010484,13783.769001197104,10537.268953327313,3246.5000478697907,1400.325144567501
2021-12-01,148125.39297362405,55516.236243978456,8190.219376758347,67693.61790897793,26817.48880513756,40876.129103840365,15297.11810921182,11760.335018049951,3536.7830911618685,1428.2013346975032
2022-03-01,143683.72144414237,53296.652613039085,7265.6102865269295,69268.28604782005,22769.991799142666,46498.294248677375,13163.495213831944,9692.392698378655,3471.1025154532895,689.6772829243503
2022-06-01,160568.5507402538,55703.738448171775,8943.175052698243,78092.716236581,31649.238725923748,46443.477510657256,16987.864742715425,12857.784164682573,4130.080578032851,841.0562600873378
2022-09-01,160952.87233184374,58693.48100638648,10216.761721615765,74927.85848486089,29916.224642672838,45011.63384218806,15553.507827660065,12402.696415456507,3150.811412203558,1561.2632913205646
2022-12-01,148604.1099304683,53724.052853971065,9515.459687473543,67606.56498360168,26748.88326735011,40857.68171625158,16236.714231969107,13383.583894453148,2853.130337515959,1521.3181734529044
2023-03-01,142198.8658146408,52903.29416864456,8897.52280455539,64069.97825429839,24534.7408094408,39535.237444857594,15589.380056000291,12776.512440964692,2812.8676150355986,738.6905311421716
2023-06-01,158439.41099755908,54183.9112745255,10414.433710589936,72802.43570405002,31120.581573715655,41681.85413033436,20008.407114991067,16224.895328472818,3783.5117865182497,1030.2231934025378
