Date,Country,Indice de Confianza del Consumidor (ICC) - Nacional,Indice de Confianza del Consumidor (ICC) - Capital,Indice de Confianza del Consumidor (ICC) - Interior,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires,Indice de Confianza del Consumidor (ICC) - Situación Personal,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo,Indice de Confianza en el Gobierno (ICG) - Nivel General,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Capital - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Interior - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Nacional - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Situación Personal - current_prices_3m_yoy,Indice de Confianza en el Gobierno (ICG) - Nivel General - current_prices_3m_yoy,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Capital - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Interior - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Nacional - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Situación Personal - current_prices_yoy,Indice de Confianza en el Gobierno (ICG) - Nivel General - current_prices_yoy,Indice de Confianza del Consumidor (ICC) - Bienes Durables e Inmuebles - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Capital - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Expectativas a corto plazo - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Expectativas a mediano plazo - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Gran Buenos Aires - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Interior - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Nacional - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Situación Macroeconómica - current_prices_mom,Indice de Confianza del Consumidor (ICC) - Situación Personal - current_prices_mom,Indice de Confianza en el Gobierno (ICG) - Nivel General - current_prices_mom
1998-07-01,Argentina,,41.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-08-01,Argentina,,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.648224208746065,,,,,,,,
1998-09-01,Argentina,,37.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.67832167832168,,,,,,,,
1998-10-01,Argentina,,39.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7476906835576695,,,,,,,,
1998-11-01,Argentina,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.299160518951917,,,,,,,,
1998-12-01,Argentina,,43.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.951219512195127,,,,,,,,
1999-01-01,Argentina,,37.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.259668508287293,,,,,,,,
1999-02-01,Argentina,,43.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33121019108279,,,,,,,,
1999-03-01,Argentina,,40.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.083565459610018,,,,,,,,
1999-04-01,Argentina,,37.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.654683296649556,,,,,,,,
1999-05-01,Argentina,,43.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.592161016949156,,,,,,,,
1999-06-01,Argentina,,41.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.853247053385723,,,,,,,,
1999-07-01,Argentina,,42.92,,,,,,,,,,,,,,,,,,,,3.696545059193035,,,,,,,,,,4.250667962108334,,,,,,,,
1999-08-01,Argentina,,41.39,,,,,,,,,,,,,,,,,,,,-3.5198135198135194,,,,,,,,,,-3.564771668219946,,,,,,,,
1999-09-01,Argentina,,45.24,,,,,,,,,,6.032083810771005,,,,,,,,,,19.398258115597788,,,,,,,,,,9.30176371104132,,,,,,,,
1999-10-01,Argentina,,44.21,,,,,,,,,,8.94254787676938,,,,,,,,,,12.465021622996698,,,,,,,,,,-2.276746242263483,,,,,,,,
1999-11-01,Argentina,,51.79,,,,,,,,,,19.492385786802057,,,,,,,,,,26.31707317073171,,,,,,,,,,17.145442207645335,,,,,,,,
1999-12-01,Argentina,,52.39,,,,,,,,,,19.9111111111111,,,,,,,,,,20.60313075506446,,,,,,,,,,1.158524811739725,,,,,,,,
2000-01-01,Argentina,,49.08,,,,,,,,,,25.49950867998689,,,,,,,,,,30.2547770700637,,,,,,,,,,-6.317999618247761,,,,,,,,
2000-02-01,Argentina,,49.61,,,,,,,,,,21.642512077294707,,,,,,,,,,15.157845868152275,,,,,,,,,,1.079869600652006,,,,,,,,
2000-03-01,Argentina,,45.47,,,,,,,,,,18.503904644471845,,,,,,,,,,11.200782587429693,,,,,,,,,,-8.34509171537996,,,,,,,,
