fecha,sector,tramo,valor
2017-12-01,total,m6a9,7385.863
2017-12-01,total,m9a12,15262.557
2017-12-01,total,mas_2y,134934.842
2017-12-01,total,pago_inmediato,27560.344
2018-03-01,bancos,m0a3,2111.415
2018-03-01,bancos,m12a18,115.287
2018-03-01,bancos,m18a24,70.624
2018-03-01,bancos,m3a6,621.982
2018-03-01,bancos,m6a9,280.077
2018-03-01,bancos,m9a12,107.343
2018-03-01,bancos,mas_2y,2177.171
2018-03-01,bancos,pago_inmediato,722.915
2018-03-01,bcra,m0a3,5474.836
2018-03-01,bcra,m12a18,0.0
2018-03-01,bcra,m18a24,0.0
2018-03-01,bcra,m3a6,4072.22
2018-03-01,bcra,m6a9,726.454
2018-03-01,bcra,m9a12,11171.482
2018-03-01,bcra,mas_2y,2459.562
2018-03-01,bcra,pago_inmediato,0.0
2018-03-01,gobierno,m0a3,12787.733
2018-03-01,gobierno,m12a18,18896.411
2018-03-01,gobierno,m18a24,7718.186
2018-03-01,gobierno,m3a6,9217.987
2018-03-01,gobierno,m6a9,7947.926
2018-03-01,gobierno,m9a12,11029.397
2018-03-01,gobierno,mas_2y,165703.148
2018-03-01,gobierno,pago_inmediato,3206.387
2018-03-01,inversion_directa,m0a3,4616.382
2018-03-01,inversion_directa,m12a18,320.231
2018-03-01,inversion_directa,m18a24,210.821
2018-03-01,inversion_directa,m3a6,1258.056
2018-03-01,inversion_directa,m6a9,715.4
2018-03-01,inversion_directa,m9a12,448.286
2018-03-01,inversion_directa,mas_2y,4054.04
2018-03-01,inversion_directa,pago_inmediato,12309.522
2018-03-01,no_financieras,m0a3,7396.525
2018-03-01,no_financieras,m12a18,2338.294
2018-03-01,no_financieras,m18a24,1184.653
2018-03-01,no_financieras,m3a6,1722.713
2018-03-01,no_financieras,m6a9,1094.083
2018-03-01,no_financieras,m9a12,699.316
2018-03-01,no_financieras,mas_2y,16874.491
2018-03-01,no_financieras,pago_inmediato,12570.897
2018-03-01,otras_financieras,m0a3,796.214
2018-03-01,otras_financieras,m12a18,17.963
2018-03-01,otras_financieras,m18a24,23.314
2018-03-01,otras_financieras,m3a6,34.261
2018-03-01,otras_financieras,m6a9,40.391
2018-03-01,otras_financieras,m9a12,9.52
2018-03-01,otras_financieras,mas_2y,2266.383
2018-03-01,otras_financieras,pago_inmediato,371.329
2018-03-01,otros_sectores,m0a3,8192.739
2018-03-01,otros_sectores,m12a18,2356.257
2018-03-01,otros_sectores,m18a24,1207.967
2018-03-01,otros_sectores,m3a6,1756.974
2018-03-01,otros_sectores,m6a9,1134.474
2018-03-01,otros_sectores,m9a12,708.835
2018-03-01,otros_sectores,mas_2y,19140.875
2018-03-01,otros_sectores,pago_inmediato,12942.227
2018-03-01,total,m0a3,33183.104
2018-03-01,total,m12a18,21688.186
2018-03-01,total,m18a24,9207.598
2018-03-01,total,m3a6,16927.219
2018-03-01,total,m6a9,10804.33
2018-03-01,total,m9a12,23465.343
2018-03-01,total,mas_2y,193534.795
2018-03-01,total,pago_inmediato,29181.051
2018-06-01,bancos,m0a3,2206.554
2018-06-01,bancos,m12a18,120.482
2018-06-01,bancos,m18a24,73.807
2018-06-01,bancos,m3a6,650.008
2018-06-01,bancos,m6a9,292.697
2018-06-01,bancos,m9a12,112.179
2018-06-01,bancos,mas_2y,2275.272
2018-06-01,bancos,pago_inmediato,755.489
2018-06-01,bcra,m0a3,4584.7
2018-06-01,bcra,m12a18,11.761
2018-06-01,bcra,m18a24,11.761
