fecha,expo_valor,expo_precios,expo_cantidades,impo_valor,impo_precios,impo_cantidades,ti_nominal,ti_base100,ti_anual_b100
2004-01-01,80.6039530158,97.8631943664,82.3386309339914,85.99981646159999,94.74751423,90.7654797091399,103.28840303803292,100.0,100.0
2004-02-01,83.1230999051,98.6377912232,84.2710483728363,72.90965474660001,95.36504879,76.4531024244781,103.43180491671198,100.13883637897496,
2004-03-01,92.2348754502,98.6990144105,93.4903206931723,90.3561759779,96.68743698,93.4814178663821,102.08049514324811,98.83054838756678,
2004-04-01,105.4987717178,101.221201051,104.331205658073,88.26141263,97.87861107,90.232000130875,103.41503618048836,100.12260151065442,
2004-05-01,117.8073316596,104.3732159754,113.006773126208,95.8147403079,99.75594181,96.1159567500476,104.62857057095836,101.29750048747675,
2004-06-01,102.4080666667,101.9055829736,100.662021215719,109.0299433424,99.66544712,109.452043119077,102.24765544963924,98.99238679485592,
2004-07-01,105.3092832617,100.5637684312,104.847919538866,105.3135811132,101.9898195,103.269011769792,98.60177116128732,95.462576882886,
2004-08-01,102.2087991209,98.362305174,103.982599167642,108.6177159242,101.6999897,106.787395890253,96.71810731166671,93.63888342435996,
2004-09-01,104.1864952875,98.6739263948,105.569481293492,108.2751209411,101.4101908,106.743592339955,97.30178556650544,94.20397905723928,
2004-10-01,98.2418096715,102.093820304,96.1157511277072,105.4565015401,103.3292032,102.034682138127,98.80442037900086,95.65877433754014,
2004-11-01,105.5721379354,98.8694678516,106.622047878606,117.2247057231,103.0238107,113.78164089071,95.96758960848648,92.91226002705186,
2004-12-01,102.8053763093,96.9367118444,105.962200993687,112.740631292,101.1469861,111.483676971163,95.83746939188336,92.78628246057208,
2005-01-01,96.5222167209,96.9899385278,99.5914624747265,101.6345370667,105.2938855,96.5732315803302,92.11355252703636,89.1809243029135,97.028019
2005-02-01,90.4538131125,98.4345883554,92.0365398709186,99.8314211985,105.089439,95.0553997999001,93.66744107883191,90.68534155217952,
2005-03-01,106.0084827295,100.6754731168,105.371997654355,117.4893433689,106.1166755,110.77136861977,94.8724341791126,91.85197116870768,
2005-04-01,123.584598001,100.8358497944,122.460354118333,127.2381986578,108.4478865,117.346422564098,92.98092664479913,90.0206837456492,
2005-05-01,128.2502650246,100.3590811795,127.603867839534,132.3734804643,108.6737061,121.8052315412,92.34900030661603,89.40887610839643,
2005-06-01,119.7438760778,104.2050690261,114.735778042133,145.6136217561,108.3784074,134.348345894702,96.14928981333232,93.0881754246197,
2005-07-01,124.9778817203,103.9419803521,120.099181048623,125.5872843959,107.7301492,116.557507454675,96.4836502353048,93.41189078097908,
2005-08-01,133.18120747950002,108.8268792001,122.278440894209,140.3770369588,108.2053069,129.719257932192,100.57443790688978,97.37243964344788,
2005-09-01,120.8800074128,110.0311404477,109.822378057168,131.95204175139995,107.7645439,122.423234613132,102.10328598412042,98.85261363419848,
2005-10-01,117.9621510199,109.4395267615,107.786860534452,133.8014975014,107.6273328,124.291952473803,101.68376741702548,98.44645132095172,
2005-11-01,113.6255881706,109.0913890759,104.191533183427,144.4112907942,108.3780923,133.226668611414,100.65815586966184,97.45349226921188,
2005-12-01,126.4898990713,111.1690841626,113.821606282121,133.387544615,110.6945748,120.481378914783,100.42866541875004,97.2313081283386,
2006-01-01,110.627802134,109.1255417062,101.462209632678,124.2294867781,110.5395591,112.378030245524,98.72080420320763,95.5778202581529,101.350597
2006-02-01,107.2410353332,112.1532575667,95.7058119085113,124.3578244864,111.2032586,111.824178969785,100.8542905834416,97.6433826228342,
2006-03-01,126.6087048417,111.7212007271,113.331978458811,145.5328976138,111.8571822,130.097790784691,99.87843295332,96.69859346798371,
2006-04-01,136.2345541682,110.1109259941,123.634863599342,136.08920359310002,112.215473,121.232665193781,98.12454829121472,95.00054740422624,
