indice_tiempo,ica_saldo_comercial_brasil,ica_saldo_comercial_paraguay,ica_saldo_comercial_uruguay,ica_saldo_comercial_venezuela,ica_saldo_comercial_total_mercosur,ica_saldo_comercial_bolivia,ica_saldo_comercial_chile,ica_saldo_comercial_colombia,ica_saldo_comercial_mexico,ica_saldo_comercial_peru,ica_saldo_comercial_total_alianza_pacifico,ica_saldo_comercial_ecuador,ica_saldo_comercial_resto_america_latina,ica_saldo_comercial_total_america_latina,ica_saldo_comercial_canada,ica_saldo_comercial_estados_unidos,ica_saldo_comercial_alemania,ica_saldo_comercial_austria,ica_saldo_comercial_belgica,ica_saldo_comercial_espana,ica_saldo_comercial_francia,ica_saldo_comercial_italia,ica_saldo_comercial_paises_bajos,ica_saldo_comercial_polonia,ica_saldo_comercial_portugal,ica_saldo_comercial_reino_unido,ica_saldo_comercial_resto_ue,ica_saldo_comercial_total_ue,ica_saldo_comercial_suiza,ica_saldo_comercial_india,ica_saldo_comercial_rusia,ica_saldo_comercial_china,ica_saldo_comercial_corea,ica_saldo_comercial_indonesia,ica_saldo_comercial_japon,ica_saldo_comercial_tailandia,ica_saldo_comercial_taiwan,ica_saldo_comercial_vietnam,ica_saldo_comercial_resto_asia_pacifico,ica_saldo_comercial_total_asia_pacifico,ica_saldo_comercial_israel,ica_saldo_comercial_australia,ica_saldo_comercial_nueva_zelanda,ica_saldo_comercial_angola,ica_saldo_comercial_argelia,ica_saldo_comercial_egipto,ica_saldo_comercial_marruecos,ica_saldo_comercial_sudafrica,ica_saldo_comercial_resto_africa,ica_saldo_comercial_total_africa,ica_saldo_comercial_resto_mundo,ica_saldo_comercial_totales,ica_saldo_comercial_aladi,ica_saldo_comercial_asean,ica_saldo_comercial_medio_oriente,ica_saldo_comercial_mercado_comun_centroamericano,ica_saldo_comercial_can,ica_saldo_comercial_total_nafta
1990-01-01,707.5134139999999,107.606226,184.03453100000002,135.54946099999998,1134.7036319999997,-170.049611,366.858358,46.12595799999999,204.52957500000005,175.15619900000002,792.6700899999998,24.665098999999994,270.847365,2052.836575,49.21022099999999,860.4374089999999,71.337815,-20.772909,279.839971,227.57754999999997,61.934427,309.781498,1354.768774,24.28758999999999,104.32066300000001,125.96371499999998,2677.048493,138.009399,-45.474687999999986,30.273182,0.0,259.7340060000001,-36.811823000000025,84.314333,213.68556900000002,81.412132,22.216281000000006,0.017568,155.695786,780.263852,57.50868799999999,-27.64921499999999,7.479940000000001,22.648335,46.819346,134.150689,15.910923999999996,0.0,73.07793199999999,292.607226,1541.325401,8275.867084,1935.4773069999999,321.68043399999993,657.450677,40.763059,75.89764500000001,1113.9892259999997
1991-01-01,-43.347076000000015,137.49627099999998,144.79984400000004,177.14942200000002,416.09846100000027,-132.568028,251.86411699999996,43.655918000000014,54.871538000000044,158.24903299999997,508.640606,40.997313999999996,227.346096,1060.5144490000002,5.633028999999993,-260.10596499999997,106.25024299999984,-32.830604,165.568667,280.257543,-49.03533100000004,197.721135,1334.624476,11.122616999999998,124.506284,-1.5355710000000045,2223.8232369999996,87.17377800000001,-86.867234,20.81289200000001,0.0,80.92967300000004,-208.80704699999995,44.651365,-148.63619599999993,43.78388700000001,-64.52359299999999,-0.243813,59.495761000000016,-193.34996300000012,54.058479,-48.33296999999999,-9.089922999999999,19.943488000000002,39.991651,140.804618,11.827869999999999,18.218339999999998,25.07470799999998,255.86067499999996,679.5577760000001,3702.5144820000005,918.2127780000005,147.68067299999996,508.38296600000007,38.100735,110.33423699999997,-200.34573499999988
1992-01-01,-1695.2451869999995,209.57985200000002,136.25691999999998,178.052518,-1171.3558970000004,24.98765700000004,186.03042799999986,24.85391399999999,27.315258000000057,148.39768499999997,386.59728499999994,27.782921,130.54804,-601.4399940000003,-44.31270700000002,-1143.4243360000003,-200.73970299999996,-54.294586,55.024197000000015,94.24406900000008,-423.99490399999985,-254.3649079999998,1214.126433,-15.407055000000003,76.13590399999998,-61.30705599999999,386.0756059999999,-43.34678500000001,-167.23962500000002,-16.576917000000005,52.596074999999985,-352.9849210000001,-488.21586299999996,54.718305,-719.7545060000002,2.303812999999998,-179.112378,0.9112399999999999,-26.15776600000001,-1708.2920759999997,6.208863999999998,-37.83579399999999,-36.82069799999999,14.925237999999998,13.520445,155.260988,30.963021,138.151677,205.53757099999999,558.3589400000001,115.89723900000001,-2636.805422999998,-684.8222209999994,31.74754900000005,447.84539499999994,29.808482,226.022177,-1160.317751
1993-01-01,-849.65906,290.3521800000001,214.58563000000004,191.383355,-153.33789500000012,71.928737,119.38006899999993,68.363783,-17.671714000000037,196.969583,367.0417209999998,-16.232100000000003,163.23870599999998,432.63916900000095,-58.82838100000001,-1811.846918,-262.96863700000006,-74.373183,68.659307,-3.0737309999999525,-718.2257430000001,-563.5494510000001,1217.128469,-0.4297389999999979,46.032414,-87.41755100000006,-489.801614,-111.58376900000002,-170.797375,-4.194496999999998,19.10582899999998,-403.1813300000001,-535.472541,33.584842999999985,-571.793152,-11.970436999999997,-182.52166799999998,-0.356996,-66.361357,-1738.0726379999996,5.218382999999996,-14.95417999999998,-12.710845999999998,6.957242,3.6429199999999993,133.709966,26.700151999999996,-17.033386999999976,85.60010799999999,239.57700100000002,-61.088920000000144,-3665.7549870000003,323.04895399999896,-45.104127000000034,376.61892299999994,30.588699000000002,321.03000299999997,-1888.981171
1994-01-01,-670.2424599999995,435.198654,254.95000500000003,168.79489199999998,188.701090999999,59.06147900000002,457.727971,62.942228999999976,6.903331999999978,264.271259,791.8447909999999,-27.226555000000005,114.58332599999996,1126.964132,-106.759841,-2606.6146989999997,-669.5657169999998,-84.42330199999999,-2.965790999999996,-177.18957899999998,-1388.9677740000002,-935.7435060000005,1045.9490340000002,-18.629222999999996,-5.112893999999997,-237.78008300000005,-2608.474524,-134.04568900000004,-188.21058200000002,-14.941799999999994,-46.750234999999996,-408.17466499999995,-521.589529,41.47110900000002,-541.02735,-19.221325999999998,-71.12664299999997,-1.0619729999999998,-19.754869000000042,-1540.4852459999995,-12.406080000000003,-24.348277999999986,-5.220599999999999,2.99814,15.855067000000005,148.95177600000002,54.35934,81.272631,20.535258,323.97221199999996,-47.76638200000002,-5751.041923000001,988.2858830000023,1.4315950000000157,330.115049,33.915741000000004,359.048412,-2706.567511999999
1995-01-01,1308.1552610000008,491.536994,376.4522570000001,331.45154399999996,2507.5960559999994,118.911946,961.3183110000001,182.481086,-232.0445729999999,241.7139150000001,1153.468739,-14.516250999999968,248.91056900000004,4014.371058999999,-191.78439399999996,-2407.000372999999,-600.7919080000001,-87.791291,10.669928999999996,-215.67590899999982,-708.6824969999999,-522.9899349999998,978.1017530000001,-19.761149000000003,31.004736,-298.6613800000001,-1537.7335589999993,-103.15590800000001,-45.06391599999995,90.80889399999998,4.568819000000019,-109.54101100000014,-228.99711099999996,98.19280500000004,-253.5333779999999,72.59884699999998,-21.194575000000015,5.27037,206.127255,-231.07679800000005,-2.6720900000000114,-73.31445699999999,-19.452444999999997,13.953678000000002,42.489649,227.19284299999998,38.137731,213.25706700000006,66.751345,601.7823129999999,637.992593,841.4256459999997,3808.5843989999994,382.15837999999997,657.475616,68.291123,528.590696,-2831.4823640000004
1996-01-01,1287.7134490000008,402.1127,426.42745599999995,239.45420800000008,2355.707813000001,155.33797,1206.4642430000004,133.598787,-292.7940309999999,217.176022,1264.4450210000002,-29.092224000000016,272.12840300000005,4018.5269830000007,-170.69988800000002,-2774.0341710000002,-861.8839580000001,-97.08891400000002,46.60972399999994,-326.85174700000005,-869.528708,-782.3394829999999,1008.9274749999998,10.824784999999999,30.376378999999993,-219.696928,-2266.1800860000003,-205.528711,-212.92136399999995,101.77092899999998,55.547674,35.87974400000007,-224.087058,143.857466,-212.8499979999998,73.277864,-74.20505100000003,-3.8230490000000006,171.94297800000007,-90.0071039999998,-30.725677999999995,-31.686671000000004,-18.525101999999997,38.89763,55.27741599999999,322.11998900000003,128.90083900000002,141.96484000000004,131.70627299999998,818.866987,648.9755719999999,48.908080999997765,3847.048659000001,385.19378300000005,858.829407,63.768603000000006,477.020555,-3238.4664460000004
1997-01-01,1217.127066,303.9059859999999,466.91572100000013,253.02562799999998,2240.9744010000013,328.4449880000001,1244.119713,83.36724799999996,-394.3490209999999,256.697499,1189.8354390000004,-25.601280000000003,259.355652,3993.0091999999986,-315.578255,-3879.1368810000004,-1152.187326,-140.23714500000003,12.116802000000064,-632.7429670000001,-1050.158612,-1017.4700480000001,634.0112819999999,7.990618999999988,-1.2269030000000143,-505.865318,-4317.789594,-472.01997800000004,-221.383652,81.25661999999998,94.22887499999999,-13.56721500000026,-440.70570999999995,75.71195999999996,-595.4316049999999,-17.273762999999988,-131.0547600000001,-5.408352999999998,30.25942699999996,-1097.4700190000003,-41.336611000000005,-49.45852400000001,-26.619419,-1.48123,6.422618,455.46641800000003,96.61448700000001,194.143869,122.47672200000002,873.6428840000001,887.3059370000001,-4019.329439000001,3801.191438,82.32131100000015,912.6322349999999,83.42421700000001,642.9084550000001,-4589.043763
1998-01-01,888.7141649999985,274.35883900000005,319.22818199999995,305.44661800000006,1787.7478039999987,315.90802300000007,1149.4987449999999,80.00552,-342.1402620000001,293.483025,1180.847028,19.283406999999997,254.36143799999996,3558.1476999999977,-158.33888100000001,-3985.29944,-1312.5774290000004,-136.71286099999998,-11.754703000000006,-443.12176999999986,-1252.453141,-851.9065570000001,863.86501,2.531606999999994,90.36879199999998,-409.967561,-4002.147158999999,-540.418546,-266.02806000000004,206.19067700000005,-22.015062,-464.17144900000005,-518.015851,-96.38806,-796.1036829999997,-6.807003999999992,-105.58635000000004,-9.693747000000004,-41.745543,-2038.511687000001,-23.33793300000002,-60.72919399999999,1.1049830000000007,6.207018,43.322113,393.362857,92.212039,142.021206,219.56121700000003,896.68645,950.6157290000002,-4943.661876999995,3339.5802969999986,-156.04454700000002,716.006238,90.668271,708.6799750000001,-4484.387378999999
1999-01-01,90.54969299999902,260.2289509999999,423.861502,167.910347,942.5504930000006,283.040981,1228.61775,70.146091,-207.25687600000003,184.55935200000002,1276.0663170000005,-38.95061200000001,224.806802,2687.513980999999,-57.95632599999999,-2310.593093,-786.6598419999999,-80.305466,51.33114200000006,-39.896499999999946,-1140.0521539999997,-665.8050580000001,747.866702,-13.762719000000008,102.216321,-406.04317,-2508.566123999999,-277.45537999999993,-244.69947900000005,318.03789800000004,-22.662499999999966,-469.46929899999986,-392.12603000000007,-61.964768,-547.2025139999998,36.22321699999998,-178.267623,17.500531000000002,-10.634368000000052,-1605.9408539999995,-35.409402,-34.740149999999986,15.085780000000003,7.074091000000001,98.67327899999998,377.62373900000006,55.381237999999996,214.98501600000003,131.22922199999996,884.9665850000001,715.441051,-2199.522632999997,2497.095784000001,-23.652868000000012,481.21085199999993,78.083818,498.79581199999996,-2575.8784269999996
