indice_tiempo,total_cuenta_corriente,cuenta_corriente_total_bienes_servicios,cuenta_corriente_bienes_servicios_total_bienes,cuenta_corrientes_bienes_servicios_bienes_exportaciones_fob,cuenta_corrientes_bienes_servicios_bienes_importaciones_fob,cuenta_corriente_bienes_servicios_total_servicios,cuenta_corriente_bienes_servicios_ingresos_servicios,cuenta_corriente_bienes_servicios_egresos_servicios,cuenta_corriente_total_ingresos_primarios,cuenta_corriente_ingresos_primarios_rem_empleados,cuenta_corriente_ingresos_primarios_total_rentas_inversion,cta_cte_ingresos_primarios_rentas_inversion_directa,ingresos_primarios_rentas_inversion_inversion_cartera,cuenta_corriente_ingresos_primarios_rentas_otra_inversion,cuenta_corriente_ingresos_secundarios,total_cuenta_capital,total_cuenta_financiera,cuenta_financiera_total_inversion_directa,cta_fin_inversion_directa_activos_participaciones_capital,cuenta_financiera_inversion_directa_activos_instrumentosuda,cta_fin_inversion_directa_pasivos_participaciones_capital,cta_fin_inversion_directa_pasivos_instrumentos_deuda,cuenta_financiera_total_inversion_cartera,cta_fin_inversion_cartera_activos_participaciones_capital,cuenta_financiera_inversion_cartera_activos_instrumentosuda,cta_fin_inversion_cartera_pasivos_participaciones_capital,cuenta_financiera_inversion_cartera_pasivos_instrumentosuda,cuenta_financierarivados_financieros,cuenta_financiera_total_otra_inversion,cta_fin_otra_inversion_adquisicion_neta_activos_financieros,cuenta_financieratra_inversion_emision_neta_pasivos,activos_reserva,errores_omisiones_netos
2016-10-01,-4310.5642871101445,-1065.3046123861386,736.1388918600042,14239.389750499999,13503.250858639994,-1801.4435042461432,3638.162300435501,5439.605804681644,-3447.963465244451,-21.231341033915104,-3426.7321242105363,-1899.262970588266,-1117.1685661781019,-426.8812432384169,202.70379052044257,142.79492696048308,-1473.1373744746234,674.386589800825,247.67716740852643,0.0,2426.8174078931042,-2853.526830285403,-12178.226499236542,-515.769289952766,-293.9771210005659,499.54756988102156,10868.932518402187,-144.0465192121594,-87.09839570804888,-2973.8261043396224,-2886.7277086315735,10261.847449881301,2696.685448504304
2017-01-01,-7234.66883897359,-3681.1247288942805,-620.2832261399017,12764.825632879998,13385.1088590199,-3060.841502754379,4037.478147636504,7098.319650390883,-3777.9292862300663,-24.917890204640997,-3753.011396025425,-2032.9494081336331,-1348.9108440355938,-398.434375377866,224.38517615076154,45.30373485074947,-6224.3610411775735,-3173.776414190709,334.4019283244136,0.0,2502.9177469321075,1005.260595583015,-14042.875917619967,-129.04542042303183,1689.2742553468074,50.027913023497916,15553.076839520245,-140.0,194.07802879733237,694.4092470652105,-500.3312182678781,10938.213261835772,965.0040629452669
2017-04-01,-6605.3105935008825,-2780.910685103732,-712.2258264700995,15524.041014119999,16236.266840590099,-2068.6848586336323,3625.340606870293,5694.025465503925,-4033.1355644406985,-12.585051751714094,-4020.550512688985,-2072.925391191204,-1471.863734818425,-513.0406530516179,208.7356560435481,43.503717000431614,-6971.157988871818,-2020.8276050550348,267.68782680051845,0.0,2228.155431855553,60.36,-3760.1830873990993,259.22411809193807,1207.2355268709307,852.4091842079331,4374.233548154035,6.9044,1607.3313540354857,2187.934272374532,-580.6029183390465,-2804.3830504531697,-409.351112371367
2017-07-01,-8148.704854829255,-4228.618867943529,-1679.3819389599994,15851.8840510599,17531.2659900199,-2549.236928983529,3659.9911029525824,6209.228031936112,-3843.0139135616555,-26.190788804055202,-3816.8231247576005,-2114.9450994013537,-1351.3520996991642,-391.0532347512477,-77.07207332407143,79.17834642375274,-8878.074828544972,-3042.8951128536182,287.7369577627449,0.0,2200.642456287571,1129.9896143287924,-7208.312852498381,331.19672063329,236.58591300987987,1596.1196774939172,6179.975808647634,11.09,-523.1762442500785,5417.397155879105,-5940.573400129184,1885.2193810571064,-808.5483201394691
2017-10-01,-9162.667463458652,-4451.847417822919,-2435.172115970101,14521.12285372,16956.2949696901,-2016.675301852818,4183.392104522905,6200.067406375723,-4726.204941303196,-17.109791145463795,-4709.095150157732,-2460.825395118602,-1808.715718369659,-464.81650716461843,15.384895667459205,5.509669129019836,-9199.594072416827,-2123.7321121605914,265.80350513684954,0.0,2163.0856172974413,226.45,-10910.36763410541,-153.5749773489144,2061.442147615016,514.7431987817072,12303.491605589805,25.78,-727.9302577851131,4206.342321914737,-4934.27257969985,4536.655931634286,-42.436278087196115
2018-01-01,-9396.401747068383,-5061.953713864617,-1665.2512606400014,14535.245471819999,16200.49673246,-3396.702453224616,4473.665394415057,7870.367847639673,-4490.371978083075,-22.9665420819388,-4467.405436001138,-1967.6590299763388,-2116.054478161093,-447.1503506608639,155.92394487930665,23.955289532250244,-9547.095764916232,-2470.525574013645,480.0354496082924,0.0,2809.515934199532,141.0450894224055,-12953.380357882734,1.62539426711349,3576.746047199651,102.02657798894694,16429.72522136055,-26.635151104400055,-249.5858933176778,3239.0376444926947,-3488.6235378103725,6153.0312114022245,-174.64930738010116
2018-04-01,-8434.38754897401,-4233.231338869065,-1696.4285568800024,15518.4522272499,17214.880784129902,-2536.8027819890626,3517.7767016905204,6054.579483679583,-4653.571430040431,-17.8212878265972,-4635.750142213834,-1883.7749433122324,-2418.0619668033887,-477.91323209821235,452.4152199354832,20.995039632250226,-9001.553517386028,-2210.538139074334,448.9393877280288,0.0,2293.368435231785,366.10909157057773,1874.0697430993391,73.0,468.50581164253623,-292.4543968079188,-1040.1095346488842,-4.339928401618482,-9401.61181034855,10343.260037718985,-19744.871848067534,740.8666173391343,-588.1610080442715
2018-07-01,-7358.719611096843,-2698.741331866921,-745.7556917000984,15665.26091715,16411.0166088501,-1952.9856401668226,3357.7255472994643,5310.711187466287,-4897.812506233488,-19.952882253057798,-4877.859623980432,-1981.0955895501947,-2369.374031368159,-638.3609948778154,237.83422700356516,47.28618842225025,-7852.630263160405,-2655.9230502586192,497.4102778046328,0.0,2813.615839320052,339.7174887431996,1902.422975928426,398.2637817944748,308.4232081958345,-130.88558187945705,-1064.8504040586597,30.437550125345012,5157.074437743948,8069.97313174098,-2912.8986939970323,-12286.642176699504,-541.1968404858117
2018-10-01,-1894.0975439177819,2315.4309203658977,3364.2078310300003,16082.04402207,12717.83619104,-1048.7769106641026,3992.9955344272857,5041.772445091388,-4608.474410681885,-18.714982541727196,-4589.759428140158,-1588.8601670048229,-2442.574461952311,-656.884058614857,398.9459463982002,18.839000452250225,-1634.541239376292,-2653.8014827019924,299.59645756475516,0.0,2376.5522040015658,576.8457362651815,2252.962312893217,111.02467974891822,1229.112554886115,-187.0335646045135,-725.7915136536701,-31.57135962660623,-17871.767834751874,3964.5214746254233,-21836.2893093773,16669.637124810964,240.71730408923895
2019-01-01,-3433.675904719644,839.7428613137763,2549.7567436201007,14170.70271429,11620.9459706699,-1710.0138823063244,3941.591214282501,5651.605096588825,-4557.982940439666,-21.994348031999397,-4535.988592407666,-1476.5403832640066,-2306.109495250686,-847.2108453948829,284.5641744062454,37.350322551103915,-3639.076747090643,-1968.561028555771,407.48622614583064,0.0,2091.9163961270588,284.130858574543,362.1901421301312,142.235282722098,1084.0588010457627,194.2927257756085,669.811215862121,-23.801878334520612,-1963.7929065410717,-3.8832334271633613,-1959.9096731139084,-45.11107578941119,-242.75116492210054
2019-04-01,-1811.8949534367143,2931.7226182701697,4222.88573371,16630.1505026501,12407.2647689401,-1291.16311543983,3374.519074732183,4665.682190172013,-4839.903339463294,-19.975818668555306,-4819.927520794739,-1343.1684082035079,-2731.751238874584,-847.0944122429562,96.28576775641034,139.17555071776633,-2372.771359871741,-380.71224606465444,334.5687924713102,0.0,741.1821465300185,-25.90110799405388,6026.481923963032,180.060183159239,1130.4705515364508,39.42016812061554,-4755.371357387959,-44.89812117633384,-6200.257435116001,5393.651593454245,-11593.909028570246,-1773.3854814777844,-700.0519571527907
2019-07-01,-808.3976494103371,3186.1221618226955,4471.3585540001,17178.57620613,12707.2176521299,-1285.236392177405,3469.7676647637836,4755.0040569411885,-4218.85963387005,-24.731655047716597,-4194.127978822334,-1228.05113115196,-2048.428523974827,-988.4427136955474,224.3398226370174,79.95015104776633,-1538.1615709278653,-1231.3744696785484,370.88836840453877,0.0,1595.247678543798,7.0151595392893284,-110.5991531386992,-41.8981243641673,-741.8508529215904,-75.93753507869724,-597.2122890683613,33.35303252490981,14593.523153453461,17318.34704339342,-2724.8238899399585,-14823.064134088989,-809.714072565294
2019-10-01,2561.488926482491,6432.962399475735,6989.722426970104,17182.632301740003,10192.909874769899,-556.7600274943693,4016.542850833996,4573.302878328365,-4115.418648145536,-26.1867604598002,-4089.2318876857357,-1561.821403539265,-1621.4563446014681,-967.4515164283162,243.9451751522924,27.47127608123742,2430.744120666798,-1545.8119418917627,409.78476477364313,0.0,2053.4763522652756,-97.87964559986968,830.5088123610133,111.0,240.2968303523547,-72.17596643044557,-407.0360155782129,11.046637132962836,7867.997189446749,8545.090673349552,-677.0934839028035,-4732.996576382165,-158.21608189693143
