fecha,pbi,imp_netos,iva,imp_importaciones,vab,agro,pesca,mineria,industria,elect_gas_agua,construccion,comercio,hoteles,transporte,intermediacion_fin,inmobiliarias,admin_publica,ensenanza,salud,otros_servicios,hogares_dom
2004-03-01,95.40074225385659,87.4427182797044,95.6742194664092,99.79983740422568,96.12037765058645,99.72910878788804,92.11663680357078,90.17677833192292,95.87046588918427,88.29010450132643,93.61997929578591,97.3891027557504,125.75897363302863,98.90490945377356,90.99149601331872,93.78808541515275,94.70423581801354,97.3030518074192,93.23735887615379,97.55613109910946,102.06034558619325
2004-06-01,99.0480055142365,96.81917893571178,98.61129919097608,98.43198992531124,99.28796143486885,101.54299960092239,100.88767567811479,97.88098158351696,98.78485307026946,101.3355869412194,98.46154608826943,99.11872121263772,95.03400388207385,99.96567593290503,109.54115885653542,97.82564256380046,96.21538497610639,94.64065303419396,98.73079674411245,101.025534997805,99.04883320460232
2004-09-01,101.51935416508806,105.68357907258581,101.03081053075387,102.28522502648588,101.16711733312162,97.5531711933914,112.5372251626372,105.12411348197408,101.30261668119773,106.21186485811376,101.07555565308989,101.48762062203345,88.82825643271468,99.71737899070123,102.2771792290505,101.50129386417872,101.7134773180417,102.48512311022829,102.07136176432331,98.99646514609378,98.14380721237738
2004-12-01,103.87172345435356,110.2575219066673,104.42987773410806,99.33970132591487,103.2832998947792,99.2603600942125,94.52065451545423,106.68069344506922,103.62310539256656,103.94286551336818,106.70426626225552,101.93413317564328,89.28671523918067,101.29967566640788,97.55938973305842,106.32536449054608,107.04530033810329,105.25630931742249,105.58372653040107,102.34586818273992,100.79826900334162
2005-03-01,103.46450744837988,104.19673545717616,103.63401147749818,96.45820100857284,103.43949215719148,99.48950838161424,146.88483368151435,99.4194259708928,105.42201513717606,103.36120370427085,113.46141534906558,105.24254551537476,116.40203669124595,103.42426218144377,111.20783265411403,86.70565642731593,112.36473134920857,110.02438790810847,103.35858539068268,106.78193772234856,110.15085274370517
2005-06-01,104.14386138007305,108.56609995511195,103.59306429403905,94.87206930755822,103.86776580204446,77.52678565107036,128.3769407189677,113.92225957455221,106.84976227086563,114.80878081750161,121.57770090553794,106.84568662832747,109.64742524654174,105.61431319429111,111.11715900381105,109.90761511299955,114.90641210342383,114.46351218461078,111.09467740913817,111.02421690445587,108.86685876005838
2005-09-01,114.67303166577997,123.86841029369799,113.40577375039655,99.97945095556292,114.08993812712833,117.71416359128924,117.54279604720269,122.6027452606508,108.33134660724298,121.51729807247544,125.27926914918173,110.0260647229856,121.7664734158691,105.88085004500441,113.43930216357528,117.70972027733599,122.21829649221579,123.12529253284193,113.42890757202755,112.1144006721307,108.77602069122247
2005-12-01,119.37802240824655,125.12615847259684,117.78580327822534,104.4912899425716,119.13179078953682,120.71235390023365,100.00347431297409,140.06070992291302,112.07841832055468,119.41394436045347,127.86471729369246,113.54713797891229,124.01065376578242,109.09639963698451,116.63793650083511,122.33393464062567,133.67753491015796,133.17939696183535,121.44660153049473,118.47046489231073,109.28357139529781
2006-03-01,120.89124468903248,114.91059277155682,118.84842046587131,115.6946095045204,121.64673026392092,115.45024288755137,131.95001019614102,151.23250673582962,114.82303041719177,111.18705618052007,140.55421074814078,117.34723539514916,140.96712090501788,114.03649560698585,119.74777280732378,114.12450377148468,138.4241747470628,137.41201731031808,129.14371435539636,120.07128839108663,120.7305922561227
2006-06-01,118.55026443444198,118.61133232201739,114.42843785460227,108.76825586529057,118.93287374663804,83.59258732004166,106.30161883737182,163.78323060098083,117.32974676736596,121.21493035754176,147.56573309944986,119.24010851612539,129.95302755865404,115.57000841375688,120.34116648929431,118.73136025345697,146.34767457176775,145.8399919359697,137.14594545525983,127.03541094308942,121.57745529751003
