indice_tiempo,ica_expo_totales,ica_exportacion_productos_primarios,ica_exportacion_manufacturas_origen_agropecuario,ica_exportacion_manufacturas_origen_industrial,ica_exportacion_combustible_energia,ica_importaciones_totales,ica_importaciones_bienes_capital,ica_importaciones_bienes_intermedios,ica_importaciones_combustibles_lubricantes,ica_importaciones_piezas_accesorios_bienes_capital,ica_importaciones_bienes_consumo,ica_importaciones_vehiculos_automotores_pasajeros,ica_importaciones_resto,ica_bienes_capital_partes_piezas,ica_bienes_intermedios_combustibles_lubricantes,ica_importaciones_bs_consumo_vehiculos_automotor_pasajeros,ica_saldo_comercial
1993-07-01,1161.519236,309.188763,460.328169,311.717048,80.263815,1559.202869,438.498989,442.126559,51.16612,263.952746,268.865514,92.907522,1.685419,702.451735,493.29267899999996,363.4584550000001,-397.6836329999999
1993-08-01,1082.734049,245.806947,410.477122,351.024109,75.407689,1538.31554,361.126276,466.660316,53.918586,266.392338,299.6175,90.152212,0.448312,627.5186140000001,520.578902,390.218024,-455.58149100000014
1993-09-01,1190.60363,229.396576,493.414074,350.142761,117.626793,1562.630385,336.026146,483.157619,63.036901,265.520753,346.246985,67.643901,0.99808,601.5468989999999,546.19452,414.88896600000004,-372.02675499999987
1993-10-01,1091.679142,144.645589,417.976192,374.035429,154.967116,1570.284496,374.176757,475.794296,21.438927,259.361462,366.036116,71.484587,1.992351,633.538219,497.23322299999995,439.513054,-478.60535400000003
1993-11-01,1015.526883,113.595346,411.17673,368.372931,122.364145,1757.792572,464.911879,486.022414,34.429718,285.212265,407.850547,76.77469,2.591059,750.124144,520.452132,487.216296,-742.2656890000001
1993-12-01,1111.047183,160.927861,440.398459,390.602325,119.081781,1665.710237,501.926776,458.624193,27.219545,244.828916,352.269491,77.615848,3.225468,746.755692,485.843738,433.110807,-554.6630540000001
1994-01-01,963.367588,174.410652,418.268526,284.093754,86.578512,1578.238036,494.766895,460.457102,29.467599,249.319241,244.927224,96.06084,3.239135,744.086136,489.924701,344.227199,-614.870448
1994-02-01,965.827324,198.24988,389.294873,272.13064,106.147346,1487.035885,478.691474,427.523187,36.41639,207.148631,260.879556,75.052642,1.324005,685.840105,463.939577,337.25620299999997,-521.208561
1994-03-01,1126.63514,280.889311,384.079278,351.832263,109.651044,1849.848279,468.126907,517.147893,42.031676,394.67382,352.757671,72.034003,3.076309,862.800727,559.1795689999999,427.867983,-723.213139
1994-04-01,1221.823159,387.628872,383.438762,330.249397,120.485353,1751.819589,469.362519,484.260877,40.141516,291.09246,362.283872,102.769419,1.908926,760.4549790000001,524.402393,466.96221699999995,-529.9964299999999
1994-05-01,1598.178729,638.094045,490.201695,350.632358,119.235626,1740.954586,461.08334,487.388279,54.906705,297.486847,333.187222,105.562439,1.339754,758.570187,542.294984,440.08941500000003,-142.7758570000001
