fecha,dext_total,dext_gobierno,dext_bcra,dext_bancos,dext_otros_sectores,dext_otras_financieras,dext_no_financieras,dext_inversion_directa
2022-09-01,270401.044,152618.714,27764.24,3140.366,45666.145,1596.565,44069.58,41211.579
2022-12-01,275682.297,160690.15,28598.315,3111.826,43509.182,1707.243,41801.939,39772.824
2023-03-01,274577.658,158638.179,28744.285,3118.434,42556.913,1602.317,40954.596,41519.846
2023-06-01,275447.776,155116.463,27671.645,2953.622,44497.882,1661.64,42836.242,45208.164
2023-09-01,277464.07,151570.072,27486.523,3027.075,46709.517,1727.14,44982.377,48670.884
2023-12-01,283963.58,153533.481,27265.638,2477.504,48785.33,1721.66,47063.67,51901.627
2024-03-01,284808.767,153291.836,26073.575,2620.439,48309.865,1653.957,46655.908,54513.053
2024-06-01,281598.004,150399.667,27316.664,2285.215,46273.075,1520.718,44752.357,55323.383
2024-09-01,282208.965,150200.39,28145.748,2361.934,45355.952,1516.903,43839.049,56144.942
2024-12-01,277257.379,148367.93,26738.24,2671.266,45045.357,1558.635,43486.722,54434.586
2025-03-01,281259.177,148982.32,27656.234,2980.447,46771.157,1660.964,45110.193,54869.019
2025-06-01,307237.632,167654.44,30036.574,3539.956,49349.5,1377.823,47971.677,56657.162
2025-09-01,318596.182,171352.523,29537.869,4933.184,53267.55,1372.622,51894.928,59505.056
2025-12-01,320304.787,174999.254,32314.869,5243.679,53327.533,1272.555,52054.978,54419.452
