indice_tiempo,ica_saldo_comercial_brasil,ica_saldo_comercial_paraguay,ica_saldo_comercial_uruguay,ica_saldo_comercial_venezuela,ica_saldo_comercial_total_mercosur,ica_saldo_comercial_bolivia,ica_saldo_comercial_chile,ica_saldo_comercial_colombia,ica_saldo_comercial_mexico,ica_saldo_comercial_peru,ica_saldo_comercial_total_alianza_pacifico,ica_saldo_comercial_ecuador,ica_saldo_comercial_resto_america_latina,ica_saldo_comercial_total_america_latina,ica_saldo_comercial_canada,ica_saldo_comercial_estados_unidos,ica_saldo_comercial_alemania,ica_saldo_comercial_austria,ica_saldo_comercial_belgica,ica_saldo_comercial_espana,ica_saldo_comercial_francia,ica_saldo_comercial_italia,ica_saldo_comercial_paises_bajos,ica_saldo_comercial_polonia,ica_saldo_comercial_portugal,ica_saldo_comercial_reino_unido,ica_saldo_comercial_resto_ue,ica_saldo_comercial_total_ue,ica_saldo_comercial_suiza,ica_saldo_comercial_india,ica_saldo_comercial_rusia,ica_saldo_comercial_china,ica_saldo_comercial_corea,ica_saldo_comercial_indonesia,ica_saldo_comercial_japon,ica_saldo_comercial_tailandia,ica_saldo_comercial_taiwan,ica_saldo_comercial_vietnam,ica_saldo_comercial_resto_asia_pacifico,ica_saldo_comercial_asia_pacifico,ica_saldo_comercial_israel,ica_saldo_comercial_australia,ica_saldo_comercial_nueva_zelanda,ica_saldo_comercial_angola,ica_saldo_comercial_argelia,ica_saldo_comercial_egipto,ica_saldo_comercial_marruecos,ica_saldo_comercial_sudafrica,ica_saldo_comercial_resto_africa,ica_saldo_comercial_total_africa,ica_saldo_comercial_resto_mundo,ica_saldo_comercial_totales,ica_saldo_comercial_aladi,ica_saldo_comercial_asean,ica_saldo_comercial_medio_oriente,ica_saldo_comercial_mercado_comun_centroamericano,ica_saldo_comercial_can,ica_saldo_comercial_total_nafta
1990-01-01,108.87620799999999,18.560426999999997,37.10986799999999,34.341688,198.888191,-44.744147000000005,61.51357000000001,12.74223,19.124156,69.143473,162.523429,3.866479,77.52905700000001,398.06300899999997,11.921483,83.12819999999999,0.0,-5.913323999999999,54.168077999999994,30.355634999999992,8.955925000000008,58.681687,218.79901900000002,-1.1534309999999999,7.609997999999999,32.284124999999996,422.5280240000001,18.740312,-11.156279000000003,9.182594,0.0,141.67826300000002,-9.084931000000001,31.601868,32.877944,12.648954000000002,1.277851,0.0,19.521185000000003,230.521134,8.600852999999999,1.0117660000000015,2.6517150000000003,6.2977549999999995,4.357723,40.972126,2.123344,0.0,12.559458999999999,66.310407,632.783298,1855.5462039999998,373.182252,64.002272,177.92276,8.990497,41.00803500000001,114.130347
1990-04-01,149.80092000000002,20.226991,37.325509000000004,21.65989,229.01331,-45.498943999999995,95.61254,9.722311999999999,47.62718,50.703022999999995,203.665055,5.293991,61.317330999999996,453.790743,16.284350999999997,246.69081099999997,0.0,-3.4788650000000003,97.685193,84.58783600000001,17.322760999999993,125.648306,382.659666,-1.127256,62.156329,39.99601499999999,853.2323669999998,47.782382000000005,-9.280864999999999,6.546341999999999,0.0,33.248515,-1.1267669999999974,12.869288999999998,56.817063000000005,19.042755000000003,16.388866999999998,0.0,57.691436,194.93115799999998,10.825182999999999,7.197576999999999,0.670706,5.430467,22.084308,46.314552000000006,2.1478849999999996,0.0,22.937033000000003,98.914245,470.718781,2350.5213989999997,426.04707599999995,89.60347999999999,241.14549399999999,11.103734,20.220382,310.569397
1990-07-01,292.161349,26.616862000000005,60.453387000000006,29.558656999999997,408.79025500000006,-40.525998,91.052337,12.005719,110.985279,36.222699,250.266034,0.37155700000000014,80.51316599999998,699.4150140000002,12.903887,290.83555,0.0,-4.442392999999999,76.117925,61.225691000000005,15.518028999999991,72.23202899999998,440.29870099999994,13.112878,23.628704,29.843651000000005,770.544086,43.00887099999999,-11.184772999999998,6.778727999999999,0.0,49.139261,-0.21988299999999938,33.00831599999999,107.73615699999998,29.072816,7.481854000000002,0.007501,42.359691000000005,268.58571300000006,19.582424,7.7406489999999994,2.904322,3.481726,9.488706,32.343894999999996,1.539354,0.0,24.473128,71.326809,339.740075,2479.172484,671.03466,104.45867399999999,156.426579,11.481649,8.073977,414.622434
1990-10-01,156.67493699999994,42.20194599999999,49.145767,49.989225999999995,298.011876,-39.28052200000001,118.679911,11.655697,26.792960000000008,19.087004,176.215572,15.133072,51.487811,501.567809,8.1005,239.782848,71.337815,-6.938327,51.868775,51.408388,20.137711999999993,53.219476,313.01138799999995,13.455399,10.925632000000002,23.83992400000001,630.744016,28.477833999999994,-13.852771,7.765518000000001,0.0,35.667967,-26.380241999999996,6.834859999999999,16.254405000000006,20.647607,-2.9322909999999993,0.010067,36.123474,86.22584699999999,18.500228,-43.599207,1.253197,7.4383870000000005,10.888609,14.520116,10.100340999999998,0.0,13.108312000000002,56.055765,98.08324700000003,1590.6269969999996,465.213319,63.616007999999994,81.955844,9.187179,6.595250999999999,274.667048
1991-01-01,51.55690799999999,22.313962999999998,38.765362999999994,31.644250999999997,144.280485,-43.788638999999996,67.46108000000001,9.199542000000001,9.397448999999995,40.505249000000006,126.56332,1.4480579999999996,78.463699,306.9669229999999,1.9453460000000007,65.85105299999998,10.679932000000008,-7.7373449999999995,46.910236,51.184048999999995,0.4780140000000017,54.382853999999995,231.78805499999999,7.135265999999999,18.802158000000002,3.2439270000000064,438.945165,22.078019,-15.339624999999996,3.168613,0.0,35.641911,-19.011863,12.597558999999999,8.507121000000012,12.326779,-7.401525,0.0,14.017573000000002,56.67755500000001,25.49895,1.668525999999999,1.4650320000000001,8.313806999999999,11.339198,24.96914,0.05593800000000004,5.409878999999998,-26.725527000000003,23.362435000000005,137.22055899999998,1047.4305319999999,265.706633,38.941911,115.97529800000001,13.994111,7.364209999999999,77.07484800000002
1991-04-01,49.450012999999956,25.372310000000006,27.377882,58.015414,160.215619,-48.14904399999999,43.446162,5.219542000000001,27.89315700000001,44.183406,120.74226700000001,20.391732,59.58269599999999,312.78327000000013,-0.7237810000000025,-21.157118999999966,97.59249,-8.927248,66.718736,82.26865400000001,12.057382000000004,109.55139500000001,413.028265,5.043718999999999,48.723695,30.726751000000007,876.0823660000001,19.298527000000004,-22.115115,14.792887,0.0,71.994336,-24.135742,11.474183,-24.577969999999993,1.2882710000000004,9.957600999999997,-0.014566,22.514793,68.50090599999999,14.621633999999997,-27.794127999999997,1.2780390000000001,3.941859,18.236111,51.070485,5.0231259999999995,7.794473,19.449856999999998,105.51591099999999,307.29157200000003,1629.076442,280.09580099999994,35.262681,163.61110200000002,9.596366,21.645636,5.809487000000004
1991-07-01,49.072141000000045,50.602186,43.531604,35.169005,178.374936,-23.120842000000003,67.51543999999998,22.156932,19.680226000000005,48.834668,158.187266,14.305190000000001,46.168191,373.91474100000005,5.457324,-114.08827299999996,26.44136800000001,-7.764736999999999,33.29572,98.704993,-13.000796000000008,55.46306100000001,406.44076599999994,-1.3434049999999997,37.734203,9.11512299999999,672.818697,27.732401000000003,-26.168191999999998,-0.21600000000000108,0.0,29.350733000000005,-43.062055,12.99091,-3.025711000000001,19.132534000000003,-14.701925,-0.13230799999999998,16.717203000000005,17.26938100000001,8.825372000000003,-15.112210000000001,-8.029388,3.4849390000000002,4.373736,37.458655,4.805246,17.076042,5.458658999999999,72.657277,191.50748700000005,1178.8362159999997,340.02614900000003,48.708338999999995,141.665756,11.772685,62.175948,-89.24378999999999
1991-10-01,-193.42613799999992,39.207812,35.124995,52.320752,-66.77257899999995,-17.50950300000001,73.44143500000001,7.079902000000001,-2.0992940000000075,24.72571,103.147753,4.852334000000001,43.131510000000006,66.849515,-1.0458600000000011,-190.71162600000002,-28.463547000000005,-8.401274,18.643974999999998,48.099847,-48.569931,-21.676175,283.36739,0.28703699999999976,19.246228000000002,-44.621371999999994,235.97700899999995,18.064831000000005,-23.244301999999998,3.067391999999999,0.0,-56.05730699999999,-122.59738700000001,7.588713000000001,-129.539636,11.036303,-52.377744,-0.096939,6.246192000000001,-335.797805,5.112523,-7.095157999999994,-3.803606,4.202883,6.042606,27.306337999999997,1.9435600000000002,-12.062053999999998,26.891718999999995,54.325052,43.53815800000001,-152.828708,32.384195000000005,24.767742,87.13081,2.7375730000000003,19.148443,-193.98628000000002
1992-01-01,-384.78020899999996,37.68330100000001,26.618888000000005,45.887161,-274.59085899999997,-12.942892999999998,57.100877,28.868257999999997,9.639534000000005,39.501121000000005,135.10979000000003,12.016742,45.279564,-95.127656,-9.146711,-171.18400800000006,-35.820617,-14.650954999999998,10.910495000000001,64.630905,-46.55843999999999,-6.065773999999976,210.68285299999997,3.0882640000000006,11.759189999999998,-17.590821,172.7142530000001,-7.670846999999995,-31.991906,-2.5012440000000007,7.587756000000001,-41.709389,-110.952767,7.549124,-128.72761699999998,1.7354569999999994,-46.843951,0.0,-2.6005959999999995,-321.549739,-0.019408000000000314,1.037757,-4.822938000000001,4.269346,5.733747,26.403644000000003,4.415153999999999,0.6413210000000014,37.327802,78.79101399999999,51.08480700000001,-325.1280230000002,-111.36660400000001,6.683985,76.96802600000001,5.872894,67.443228,-170.713511
1992-04-01,-486.76847,52.066446000000006,13.952984999999998,53.548549,-367.20049000000006,1.7612719999999982,43.515433,-0.7568930000000016,22.08443100000001,31.113970000000002,95.95694099999997,5.703679000000001,32.924563,-230.85403500000007,-10.779332999999998,-186.73277399999995,4.0608290000000125,-11.147215000000001,13.124214000000006,7.75731399999998,-115.04695399999999,-32.08222900000001,344.498901,-12.664761,24.908179999999998,4.991332999999997,231.12723400000004,2.7276219999999967,-40.45696900000001,0.16144800000000004,26.454119999999996,-76.56282099999999,-126.014927,15.130287000000001,-144.355045,-0.33209399999999967,-17.299275999999992,-0.001654,7.65781299999999,-341.77771700000005,12.757628000000004,-5.254144000000001,-20.703134000000002,0.26202,2.676845,64.105735,11.382508000000001,89.413458,85.438906,253.279472,59.97391400000001,-252.80429000000004,-261.24175,22.434555,178.60145,10.567032,37.822027999999996,-175.514421
