#,Serie A,Deflactor A,Serie B,Deflactor B,Operación,Desde,Hasta,Frecuencia,Log,Dif.,MM,Test UR,Estadístico,p-valor,Resultado (5%)
"1","Reservas Brutas BCRA","PBI","—","—","Solo A","—","—","Original","No","1","0","ADF","-33.6450","0.0010","Rechaza H0 (estacionario)"
"2","Riesgo País ARG (EMBI+)","—","EMBI+ Latinoamérica","—","A − B","—","—","Original","No","1","0","ADF","-32.2127","0.0010","Rechaza H0 (estacionario)"
"3","Ingresos Corrientes — Total","PBI,CER","—","—","Solo A","—","—","Original","No","1","0","ADF","-15.3880","0.0010","Rechaza H0 (estacionario)"
